Date,Code,Name,Market,Score,Close,preset,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,valid,vol_ratio,candle_pct,cum_5d_gain,upper_wick_ratio,rs_ratio,longterm_ma_breakouts,ma3,ma5,ma10,is_first_pullback,pullback_quality,cup_and_handle_detected,inverse_hns_detected,gap_support_detected,peak_180d,ret_180d,sell_date,sell_close,Amount,past_60,past_120,past_240,slope60,slope120,pos_252_high,drawdown60,new_high_252,vol20,vol60,range60_pct,range120_pct,days_since_52w_low,days_since_52w_high,pos_60_high,pos_120_high,pos_240_high,past_5d,past_20,runup60,For_5d,For_20d,Inst_5d,Inst_20d,PER_num,PBR_num,외인소진율_num,pre_5d_max_high_ratio,pre_5d_min_low_ratio,pre_5d_vol_trend,pre_10d_max_high_ratio,pre_10d_drawdown,pre_20d_vol_ratio,gap_up_count_5d,long_red_count_5d,long_red_in_10d,consecutive_red_max,Year,is_loser,is_sw,is_100,is_50,p_loss,p_sw,p_100plus,p_50plus,p_30plus,p_10plus,SuperScore,window,_pct,_bin_p_sw,_bin_p_100plus,_bin_p_50plus,_bin_p_30plus,_bin_p_10plus,_bin_p_loss,매출_YoY,영업이익_YoY,영업이익률_변화,PER,PBR,영업이익률,성장그룹,_매출bin
2025-01-02,290650,엘앤씨바이오,KOSDAQ,46.75,25500.0,pullback,30.0,30.5,54.0,100,75.6,39.5,0,48.9,0,100.0,0,80,True,1.83,5.81,15.12,0.25,1.271,,24216.67,23470.0,22830.0,True,가짜 눌림,True,True,False,166.27450980392155,96.8627450980392,2025-09-26,50200.0,7467445500.0,31.17283950617285,4.938271604938271,-6.764168190127973,0.2767356036972758,0.2767356036972758,-14.28571428571429,-1.3539651837524147,0,3.947110368369027,3.2279179480603064,72.33333333333334,72.33333333333334,48,373,-14.28571428571429,-14.28571428571429,-14.28571428571429,2.5977366255144037,10.390946502057616,31.17283950617285,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,0,1,1,0.2351351646984345,0.264265356589008,0.3016315606768121,0.5391750971425965,0.594964194964195,0.7828661068929454,1.7583595073459573,2025,1.0,"(0.25, 0.3]","(0.3, 0.4]","(0.5, 0.6]","(0.5, 0.6]","(0.7, 0.8]","(0.2, 0.25]",9.256449165402124,-51.85185185185185,-6.96,3.86,1.95,5.37,⚠️ 매출만↑/이익↓,"(-0.187, 11.589]"
2025-01-03,290650,엘앤씨바이오,KOSDAQ,49.11,27100.0,default,30.0,34.8,56.4,100,74.8,18.2,0,61.8,35,100.0,0,80,True,2.09,6.27,20.44,0.03,1.351,MA480,25566.67,24390.0,23335.0,True,가짜 눌림,True,True,False,150.55350553505536,104.79704797047972,2025-09-29,55500.0,9708033000.0,39.33161953727507,12.448132780082988,0.5565862708719838,0.3532235035716762,0.3532235035716762,-8.907563025210086,-0.1841620626151008,0,4.001562161367746,3.2761703400024573,81.0,81.0,49,374,-8.907563025210086,-8.907563025210086,-8.907563025210086,3.2776349614395888,13.110539845758357,39.33161953727507,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,0,1,1,0.2576672645980039,0.2988215488215488,0.3065582168896259,0.5639440303009242,0.6489283526129154,0.8123327846071996,1.8981664143939088,2025,1.0,"(0.25, 0.3]","(0.3, 0.4]","(0.5, 0.6]","(0.6, 0.7]","(0.8, 0.85]","(0.25, 0.3]",9.256449165402124,-51.85185185185185,-6.96,3.86,1.95,5.37,⚠️ 매출만↑/이익↓,"(-0.187, 11.589]"
2025-01-06,097230,HJ중공업,KOSPI,41.33,6200.0,pullback,0.0,15.1,51.3,100,0.0,100.0,0,0.0,0,100.0,0,70,True,0.91,5.26,-2.21,0.0,1.308,,6056.67,6032.0,6076.0,False,보통 조정,True,False,False,454.0322580645161,351.6129032258065,2025-09-30,28000.0,13196464400.0,140.7766990291262,82.89085545722715,60.20671834625324,1.880411670671734,1.880411670671734,-13.76912378303199,-13.76912378303199,0,9.13895387555185,7.051018737090474,229.8165137614679,229.8165137614679,67,14,-13.76912378303199,-13.76912378303199,-13.76912378303199,11.731391585760518,46.92556634304207,140.7766990291262,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,1,1,1,0.1930442069401952,0.5,0.4752217005738132,0.6013227513227514,0.7218889902142532,0.8951106664495239,3.4726335316497927,2025,1.0,"(0.4, 0.5]","(0.4, 0.5]","(0.6, 0.7]","(0.7, 0.8]","(0.85, 0.9]","(0.15, 0.2]",-12.769992137273947,106.70955882352942,5.42,92.42,1.44,0.39,📉 매출감소,"(-13.876, -0.187]"
2025-01-07,097230,HJ중공업,KOSPI,54.1,7190.0,default,30.0,54.1,100.0,100,70.0,25.4,0,12.5,0,100.0,0,70,True,3.41,15.04,18.65,0.19,1.587,,6426.67,6258.0,6276.0,False,보통 조정,True,False,False,377.7468706536856,283.8664812239221,2025-10-01,27600.0,57783916140.0,187.6,112.72189349112426,87.7284595300261,1.9495527088391411,1.9495527088391411,-2.4423337856173677,-2.4423337856173677,0,9.431883843945275,7.266508847313403,238.07339449541288,238.07339449541288,68,0,-2.4423337856173677,-2.4423337856173677,-2.4423337856173677,15.633333333333333,62.53333333333333,187.6,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,1,1,1,0.3700048690904769,0.5147189442964091,0.7182336182336182,0.891156462585034,0.8719100605893059,0.9468127574637958,3.791203813262885,2025,1.0,"(0.5, 1.0]","(0.5, 1.0]","(0.8, 0.9]","(0.8, 0.9]","(0.9, 0.95]","(0.3, 0.4]",-12.769992137273947,106.70955882352942,5.42,92.42,1.44,0.39,📉 매출감소,"(-13.876, -0.187]"
2025-01-08,232140,와이씨,KOSDAQ,49.83,12250.0,pullback,0.0,85.0,97.4,75,0.0,20.1,0,75.4,35,65.1,50,100,True,6.5,14.49,19.98,0.15,1.109,MA240,11436.67,11152.0,10846.0,False,가짜 눌림,True,False,True,25.795918367346935,22.693877551020417,2025-10-02,15030.0,113743479500.0,-13.671599718111349,-18.658698539176623,91.7057902973396,-0.3998507745201582,-0.3998507745201582,-46.62309368191722,-16.267942583732054,0,5.724729642774894,4.858367640602808,76.90447400241838,76.90447400241838,379,209,-46.62309368191722,-46.62309368191722,-46.62309368191722,-1.139299976509279,-4.557199906037116,13.671599718111349,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0.3035224887672362,0.3190243432714278,0.5082701336222463,0.5975289478546486,0.7784564908846123,0.9366485082849288,2.298623465154572,2025,1.0,"(0.3, 0.4]","(0.5, 1.0]","(0.5, 0.6]","(0.7, 0.8]","(0.9, 0.95]","(0.3, 0.4]",-17.24137931034483,23.25581395348837,1.6599999999999997,75.95,2.52,5.02,📉 매출감소,"(-58.927, -13.876]"
2025-01-09,347700,스피어,KOSDAQ,49.74,4755.0,pullback,0.0,8.8,5.9,100,0.0,74.5,80,0.0,0,56.6,50,80,True,0.53,1.17,6.38,1.55,1.086,,4700.0,4682.0,4555.0,False,진짜 지지,False,False,True,263.4069400630915,119.55835962145112,2025-10-10,10440.0,1823428380.0,13.48448687350836,167.13483146067415,137.75,0.5668126802631198,0.5668126802631198,-14.63195691202872,-14.63195691202872,0,8.813765528618644,7.679669618615272,114.23076923076924,114.23076923076924,199,27,-14.63195691202872,-14.63195691202872,-14.63195691202872,1.1237072394590302,4.494828957836121,13.48448687350836,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,1,1,1,0.2131359448072805,0.2718874138108469,0.5193812447333573,0.6727310665789759,0.784135345155016,0.9398683130193514,2.4315227906780836,2025,1.0,"(0.25, 0.3]","(0.5, 1.0]","(0.6, 0.7]","(0.7, 0.8]","(0.9, 0.95]","(0.2, 0.25]",4923.529411764705,267.032967032967,567.25,8.05,5.38,17.77,🚀 매출+영업이익 폭발,"(29.526, 4923.529]"
2025-01-10,108490,로보티즈,KOSDAQ,50.4,31162.0,pullback,30.0,70.0,17.8,100,57.0,0.0,0,100.0,0,100.0,0,100,True,5.0,3.56,27.74,2.23,1.394,,28727.33,27461.4,25309.3,False,가짜 눌림,True,False,False,537.6355817983441,516.4559399268339,2025-10-13,192100.0,168299168684.0,73.536782313304,38.528561902645045,0.1574904380805541,0.6724868012380631,0.6724868012380631,-9.85825860572751,-7.1121974484321,0,5.724723034052739,4.922861362869919,110.58313979034588,110.58313979034588,158,364,-9.85825860572751,-9.85825860572751,-9.85825860572751,6.128065192775334,24.512260771101335,73.536782313304,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,1,1,1,0.2921206133213875,0.2018417760313021,0.3556080882695944,0.546579063176111,0.8351857553603557,0.8794115459353504,1.390642279907648,2025,1.0,"(0.2, 0.25]","(0.3, 0.4]","(0.5, 0.6]","(0.8, 0.9]","(0.85, 0.9]","(0.25, 0.3]",3.0927835051546393,43.39622641509434,8.290000000000001,-94.5,3.08,-9.9,⚖️ 보합,"(-0.187, 11.589]"
2025-01-13,058610,에스피지,KOSDAQ,54.69,29000.0,pullback,30.0,36.2,58.1,100,55.7,74.3,0,100.0,35,92.9,0,100,True,2.17,6.62,6.42,0.44,1.216,MA480,28250.0,27400.0,26400.0,False,보통 조정,True,True,False,23.10344827586206,1.551724137931032,2025-10-14,29450.0,51623016000.0,25.54112554112553,9.433962264150942,-12.91291291291291,0.2779495443211184,0.2779495443211184,-22.252010723860593,-2.684563758389258,0,6.42672518496346,4.666448689075035,65.64758198999444,65.64758198999444,34,363,-22.252010723860593,-22.252010723860593,-22.252010723860593,2.128427128427127,8.51370851370851,25.54112554112553,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0.3128497238523709,0.2005820756926124,0.2882341458001982,0.3938684227115632,0.5529302689931654,0.7580544261516845,1.0346979212179086,2025,1.0,"(0.2, 0.25]","(0.25, 0.3]","(0.2, 0.4]","(0.5, 0.6]","(0.7, 0.8]","(0.3, 0.4]",-1.345860843067547,-23.125,-0.8899999999999997,39.57,2.04,3.17,❌ 역성장,"(-13.876, -0.187]"
2025-01-14,082740,한화엔진,KOSPI,45.07,23900.0,pullback,30.0,37.9,23.6,100,73.7,4.4,0,100.0,0,95.3,0,70,True,2.28,2.36,23.9,1.18,1.226,,23016.67,22570.0,20624.0,True,가짜 눌림,True,False,False,112.97071129707112,97.69874476987448,2025-10-15,47250.0,75421708000.0,50.50377833753148,54.19354838709678,141.4141414141414,0.5927041188194266,0.5927041188194266,-2.647657841140527,-2.647657841140527,0,3.771025936231215,3.748288969853549,83.48281016442452,83.48281016442452,329,0,-2.647657841140527,-2.647657841140527,-2.647657841140527,4.20864819479429,16.83459277917716,50.50377833753148,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,0,1,1,0.1529842931937172,0.1708754208754208,0.2708585000307119,0.4836025402939221,0.6203417338513105,0.8979686440560698,1.4207437651512986,2025,1.0,"(0.15, 0.2]","(0.25, 0.3]","(0.4, 0.5]","(0.6, 0.7]","(0.85, 0.9]","(0.15, 0.2]",40.70692883895131,721.8390804597701,4.93,19.01,3.91,5.95,🚀 매출+영업이익 폭발,"(29.526, 4923.529]"
2025-01-15,032500,케이엠더블유,KOSDAQ,51.64,8600.0,pullback,0.0,51.4,0.0,75,0.0,100.0,80,2.9,0,25.9,50,100,True,3.14,-0.46,-3.59,2.25,0.885,,8533.33,8564.0,8809.0,True,보통 조정,True,False,True,79.65116279069768,59.53488372093023,2025-10-16,13720.0,4087124200.0,13.306982872200267,-29.218106995884774,-48.62604540023895,0.1870817249499839,0.1870817249499839,-57.00000000000001,-9.663865546218489,0,4.286933670609266,4.034974071855317,36.194563662374826,36.194563662374826,128,364,-57.00000000000001,-57.00000000000001,-57.00000000000001,1.1089152393500223,4.435660957400089,13.306982872200267,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,1,0.2883156648056943,0.247435333495126,0.4029585798816568,0.4349426118296637,0.6546884825049644,0.9122688216422414,1.6130894446515247,2025,1.0,"(0.2, 0.25]","(0.4, 0.5]","(0.4, 0.5]","(0.6, 0.7]","(0.9, 0.95]","(0.25, 0.3]",-12.687312687312687,27.662957074721778,10.75,-9.06,2.43,-52.06,📉 매출감소,"(-13.876, -0.187]"
