Date,Code,Name,Market,Close,Amount,Score,chart_pattern,past_60,past_120,pos_252_high,slope60,drawdown60,peak_180d,ret_180d,sell_date,sell_close,For_5d,Inst_5d,For_20d,Inst_20d,PER_num,PBR_num,시총_num,Year,YYYYMM
2023-11-27,356860,티엘비,KOSDAQ,25500.0,5016028500.0,55.28,sideways,5.411255411255422,6.5645514223194645,-19.636963696369637,-0.18191727270204783,-16.635160680529303,29.41176470588236,-38.70588235294118,2024-08-21,15630.0,66694.0,-89820.0,103403.0,-170886.0,43.84,8.65,1168100000000.0,2023,2023-11
2022-08-24,082920,비츠로셀,KOSDAQ,7216.0,5084003936.0,49.15,mixed,10.376582798881762,-4.659090909090913,-23.995017551806143,1.386523346822938,-18.332543818095694,52.452882483370274,28.187361419068747,2023-05-17,9250.0,-38698.0,150176.0,-185649.0,383264.0,37.95,7.11,2434700000000.0,2022,2022-08
2024-10-10,174900,앱클론,KOSDAQ,16290.0,5089012290.0,51.86,mixed,3.2786885245901676,-4.429611650485432,-25.531914893617024,0.47921735909190694,-29.065300896286818,11.111111111111116,-31.86003683241252,2025-07-08,11100.0,,,,,,14.28,809100000000.0,2024,2024-10
2024-03-11,089970,브이엠,KOSDAQ,15770.0,5135737050.0,60.38,mixed,2.1097046413502074,3.0518097941802713,-24.335591453882234,-1.7302190370719044,-16.07142857142857,32.84717818642993,-62.777425491439445,2024-12-04,5870.0,79922.0,51524.0,138708.0,2293.0,33.14,8.21,1597800000000.0,2024,2024-03
2024-03-11,089970,브이엠,KOSDAQ,15770.0,5135737050.0,60.86,mixed,2.1097046413502074,3.0518097941802713,-24.335591453882234,-1.7302190370719044,-16.07142857142857,32.84717818642993,-62.777425491439445,2024-12-04,5870.0,79922.0,51524.0,138708.0,2293.0,33.14,8.21,1597800000000.0,2024,2024-03
2024-03-11,089970,브이엠,KOSDAQ,15770.0,5135737050.0,64.44,mixed,2.1097046413502074,3.0518097941802713,-24.335591453882234,-1.7302190370719044,-16.07142857142857,32.84717818642993,-62.777425491439445,2024-12-04,5870.0,79922.0,51524.0,138708.0,2293.0,33.14,8.21,1597800000000.0,2024,2024-03
2023-10-24,082270,젬백스,KOSDAQ,13570.0,5140899510.0,45.73,mixed,-5.496183206106875,-9.50292397660819,-24.74164133738602,-0.7550854802214806,-11.266568483063333,12.82240235814296,-16.87546057479735,2024-07-17,11280.0,76076.0,92281.0,63381.0,245248.0,,12.5,747700000000.0,2023,2023-10
2022-03-23,014620,성광벤드,KOSDAQ,8840.0,5151686800.0,61.64,sideways,5.108556832694755,-6.583427922814988,-25.520361990950224,0.30108879816170153,-13.348676639815881,99.6606334841629,49.886877828054295,2022-12-12,13250.0,50398.0,97400.0,131803.0,54896.0,28.82,1.75,962700000000.0,2022,2022-03
2022-03-23,014620,성광벤드,KOSDAQ,8840.0,5151686800.0,61.6,sideways,5.108556832694755,-6.583427922814988,-25.520361990950224,0.30108879816170153,-13.348676639815881,99.6606334841629,49.886877828054295,2022-12-12,13250.0,50398.0,97400.0,131803.0,54896.0,28.82,1.75,962700000000.0,2022,2022-03
2022-03-23,014620,성광벤드,KOSDAQ,8840.0,5151686800.0,63.88,sideways,5.108556832694755,-6.583427922814988,-25.520361990950224,0.30108879816170153,-13.348676639815881,99.6606334841629,49.886877828054295,2022-12-12,13250.0,50398.0,97400.0,131803.0,54896.0,28.82,1.75,962700000000.0,2022,2022-03
2022-03-23,014620,성광벤드,KOSDAQ,8840.0,5151686800.0,56.15,sideways,5.108556832694755,-6.583427922814988,-25.520361990950224,0.30108879816170153,-13.348676639815881,99.6606334841629,49.886877828054295,2022-12-12,13250.0,50398.0,97400.0,131803.0,54896.0,28.82,1.75,962700000000.0,2022,2022-03
2023-01-12,082920,비츠로셀,KOSDAQ,7595.0,5181871030.0,55.99,box_breakout,18.424543946932005,30.429223744292244,-9.28607723577236,1.8561660343020567,-8.607954545454543,64.12113232389731,21.132323897300864,2023-10-10,9200.0,58136.0,85676.0,113866.0,179095.0,37.95,7.11,2434700000000.0,2023,2023-01
2022-09-23,043260,성호전자,KOSDAQ,1670.0,5196231720.0,54.69,box_breakout,6.734006734006726,2.2580645161290214,-15.466666666666661,0.4687570400402017,-6.874999999999998,25.748502994011968,-0.179640718562879,2023-06-16,1667.0,,,,,30.76,11.67,2925600000000.0,2022,2022-09
2022-07-19,102940,코오롱생명과학,KOSDAQ,38050.0,5236669300.0,48.44,box_breakout,1.9886363636363535,-5.65045992115637,-21.444201312910284,-1.2710620453576513,-16.97054698457223,32.98291721419184,-10.11826544021025,2023-04-10,34200.0,45903.0,7491.0,81368.0,7491.0,27.19,1.2,712100000000.0,2022,2022-07
2025-05-07,160190,하이젠알앤엠,KOSDAQ,33650.0,5262052400.0,52.51,V_recovery,-25.357142857142854,326.53061224489795,-25.445897740784783,-3.7160959600841084,-39.714625445897745,171.02526002971769,153.78900445765228,2026-01-29,85400.0,,,,,,9.8,1112000000000.0,2025,2025-05
2020-09-28,290650,엘앤씨바이오,KOSDAQ,45700.0,5276384900.0,56.67,mixed,29.488761171125088,161.59878419452886,-10.347916666666668,5.581968528092398,-21.547832126733102,13.492341356673965,-25.164113785557984,2021-06-23,34200.0,22030.0,-13436.0,92942.0,-28225.0,,8.38,1842000000000.0,2020,2020-09
2024-12-30,052020,에스티큐브,KOSDAQ,8540.0,5286798020.0,44.28,persistent_uptrend,37.64880952380953,40.55080721747388,-36.1518550474547,2.4934737989841116,-30.25249376558603,22.599531615925052,-15.10538641686182,2025-09-25,7250.0,,,,,,14.87,1073500000000.0,2024,2024-12
2023-01-04,310210,보로노이,KOSDAQ,28257.0,5368067061.0,52.98,persistent_uptrend,44.296883367248576,-27.69474333861057,-31.459530955893577,8.957272619457257,-14.310092637737693,191.29773153554873,83.67130268606009,2023-09-25,51900.0,15380.0,-6877.0,78581.0,145047.0,,49.26,5171000000000.0,2023,2023-01
2022-03-15,214370,케어젠,KOSDAQ,13000.0,5378555000.0,42.63,downtrend,-19.87673343605547,-29.539295392953935,-34.83709273182958,-3.0439355446432836,-22.619047619047617,150.61538461538458,84.3076923076923,2022-12-02,23960.0,-25741.0,41990.0,-17250.0,45077.0,204.83,20.31,4786000000000.0,2022,2022-03
2024-04-26,089970,브이엠,KOSDAQ,17320.0,5544911400.0,56.25,mixed,12.137559002022936,28.516228748068006,-13.340281396560705,2.8589506667539752,-16.51812240047534,20.95842956120093,-54.90762124711317,2025-01-23,7810.0,53450.0,-5747.0,46260.0,79448.0,33.14,8.21,1597800000000.0,2024,2024-04
2023-06-28,232140,와이씨,KOSDAQ,4590.0,5586296220.0,52.88,sideways,0.22883295194509046,56.14973262032086,-1.903695408734607,0.2510657744604004,-15.693012600229094,86.27450980392157,61.6557734204793,2024-03-22,7420.0,,,,,81.23,4.25,1566200000000.0,2023,2023-06
2023-09-27,083650,비에이치아이,KOSDAQ,8240.0,5594465600.0,51.3,pullback_recovery,-1.7610062893081757,-9.29152148664344,-30.01792114695341,-3.18934644943192,-39.784946236559136,47.69417475728155,19.1747572815534,2024-06-27,9820.0,-69664.0,42032.0,-351586.0,233149.0,39.48,13.3,2432200000000.0,2023,2023-09
2022-10-12,101490,에스앤에스텍,KOSDAQ,23700.0,5635575600.0,49.21,mixed,22.994652406417117,-20.68965517241379,-39.79057591623037,3.446207028466146,-17.716535433070867,163.71308016877637,133.75527426160338,2023-07-03,55400.0,-87500.0,60083.0,-209018.0,472309.0,29.18,5.45,1691900000000.0,2022,2022-10
2023-01-26,082270,젬백스,KOSDAQ,14410.0,5695826290.0,60.97,box_breakout,8.734693877551013,-3.4782608695652195,-28.387096774193544,-0.5927662110937005,-15.98513011152416,21.027064538514928,-15.68355308813324,2023-10-20,12150.0,199986.0,121399.0,18584.0,31554.0,,12.5,747700000000.0,2023,2023-01
2023-01-26,082270,젬백스,KOSDAQ,14410.0,5695826290.0,53.38,box_breakout,8.734693877551013,-3.4782608695652195,-28.387096774193544,-0.5927662110937005,-15.98513011152416,21.027064538514928,-15.68355308813324,2023-10-20,12150.0,199986.0,121399.0,18584.0,31554.0,,12.5,747700000000.0,2023,2023-01
2023-01-26,082270,젬백스,KOSDAQ,14410.0,5695826290.0,53.9,box_breakout,8.734693877551013,-3.4782608695652195,-28.387096774193544,-0.5927662110937005,-15.98513011152416,21.027064538514928,-15.68355308813324,2023-10-20,12150.0,199986.0,121399.0,18584.0,31554.0,,12.5,747700000000.0,2023,2023-01
