buy_date,code,name,Market,buy_price,alloc,sell_date,sell_close,ret_180d,peak_180d,rank,combo,set,YYYYMM
2024-01-02,003230,삼양식품,KOSPI,234500.0,1000000.0,2024-09-26,548000.0,133.68869936034113,206.18336886993603,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-01
2024-01-03,285130,SK케미칼,KOSPI,71500.0,1000000.0,2024-09-27,51100.0,-28.53146853146853,0.5594405594405494,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-01
2024-01-04,078350,한양디지텍,KOSDAQ,16410.0,1000000.0,2024-09-30,13730.0,-16.331505179768435,93.47958561852529,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-01
2024-01-05,012510,더존비즈온,KOSPI,30700.0,1000000.0,2024-10-02,53400.0,73.94136807817591,155.0488599348534,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-01
2024-01-08,012510,더존비즈온,KOSPI,34150.0,1000000.0,2024-10-04,52900.0,54.90483162518303,129.28257686676426,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-01
2024-01-10,010060,OCI홀딩스,KOSPI,113700.0,1000000.0,2024-10-08,68500.0,-39.753737906772216,2.37467018469657,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-01
2024-01-11,377300,카카오페이,KOSPI,58000.0,1000000.0,2024-10-10,24650.0,-57.49999999999999,2.4137931034482696,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-01
2024-01-15,020560,아시아나항공,KOSPI,12090.0,1000000.0,2024-10-14,9560.0,-20.926385442514473,20.84367245657568,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-01
2024-01-18,012510,더존비즈온,KOSPI,40800.0,1000000.0,2024-10-17,47350.0,16.05392156862746,91.91176470588236,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-01
2024-01-24,126340,비나텍,KOSDAQ,47305.0,1000000.0,2024-10-23,34690.0,-26.667371313814602,20.982982771377223,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-01
2024-09-26,347850,디앤디파마텍,KOSDAQ,10760.0,1000000.0,2025-06-27,30705.0,185.36245353159853,260.0185873605948,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-09
2024-10-04,124500,아이티센글로벌,KOSDAQ,7290.0,1000000.0,2025-07-03,24250.0,232.6474622770919,352.6748971193416,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-10
2024-10-10,009420,한올바이오파마,KOSPI,42700.0,1000000.0,2025-07-08,25150.0,-41.10070257611241,21.779859484777518,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-10
2024-10-14,295310,에이치브이엠,KOSDAQ,17750.0,1000000.0,2025-07-10,28450.0,60.28169014084508,92.95774647887325,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-10
2024-10-15,140860,파크시스템스,KOSDAQ,202500.0,1000000.0,2025-07-11,300500.0,48.39506172839507,52.8395061728395,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-10
2024-10-18,008930,한미사이언스,KOSPI,36350.0,1000000.0,2025-07-16,48500.0,33.42503438789546,44.429160935350765,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-10
2024-10-21,009420,한올바이오파마,KOSPI,49500.0,1000000.0,2025-07-17,29900.0,-39.5959595959596,5.050505050505061,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-10
2024-10-24,034020,두산에너빌리티,KOSPI,20850.0,1000000.0,2025-07-22,62600.0,200.2398081534772,246.2829736211031,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-10
2024-10-28,214430,아이쓰리시스템,KOSDAQ,37300.0,1000000.0,2025-07-24,115200.0,208.84718498659515,234.04825737265415,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-10
2024-10-30,122640,예스티,KOSDAQ,22000.0,1000000.0,2025-07-28,17600.0,-19.999999999999996,2.0454545454545503,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2024-10
2025-06-27,103590,일진전기,KOSPI,37600.0,1000000.0,2026-03-25,79500.0,111.43617021276597,160.63829787234042,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-06
2025-07-01,032190,다우데이타,KOSDAQ,19810.0,1000000.0,2026-03-27,24150.0,21.908127208480565,58.75820292781424,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-07
