Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,결과,peak등급,RF손절확률,RF위험,Score,Amount,chart_pattern,past_60,past_120,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num,매수모드
2026-05-22,020560,아시아나항공,KOSPI,7460.0,,,,,미정,미정,51.0,0,46.62,844688340.0,mixed,-7.329192546583851,-9.024390243902436,-28.74880611270296,-0.0068544283138260356,-9.024390243902436,271895.0,476010.0,,3.1,매일1건
2026-05-21,020560,아시아나항공,KOSPI,7280.0,2026-05-22,7460.0,2.5,3.6,익절,일반,51.7,0,46.08,1916117840.0,mixed,-6.3063063063063085,-11.543134872417982,-30.46800382043935,-0.030184431010464363,-11.21951219512195,244665.0,464586.0,,3.1,매일1건
2026-05-20,002960,한국쉘석유,KOSPI,559000.0,2026-05-22,520000.0,-7.0,0.0,중립,일반,47.2,0,50.73,4165109000.0,mixed,18.80977683315621,20.21505376344086,-9.838709677419356,0.013525239506204854,-9.838709677419356,,,,,매일1건
2026-05-19,002960,한국쉘석유,KOSPI,539000.0,2026-05-22,520000.0,-3.5,6.1,중립,일반,47.4,0,55.88,6802719000.0,mixed,14.194915254237284,16.540540540540547,-13.064516129032256,0.00223519230097571,-13.064516129032256,,,,,매일1건
2026-05-18,010780,아이에스동서,KOSPI,30200.0,2026-05-22,32400.0,7.3,7.5,익절,일반,47.9,0,43.84,6948174400.0,mixed,-2.580645161290318,71.59090909090908,-12.33671988388969,-0.2550256387862334,-12.33671988388969,182488.0,-126473.0,10.05,0.69,매일1건
2026-05-15,00104K,CJ4우(전환),KOSPI,189300.0,2026-05-22,155900.0,-17.6,0.0,중립,일반,47.4,0,40.7,4202270700.0,mixed,0.9600000000000053,26.11592271818788,-5.35,0.16372059079361562,-5.35,,,,,매일1건
2026-05-14,057050,현대홈쇼핑,KOSPI,87200.0,2026-05-22,84900.0,-2.6,3.8,중립,일반,41.4,0,40.27,2053036800.0,mixed,12.516129032258071,56.552962298025136,-9.449636552440289,0.0735754911328615,-9.449636552440289,-60845.0,135259.0,10.29,0.4,매일1건
2026-05-13,057050,현대홈쇼핑,KOSPI,84800.0,2026-05-22,84900.0,0.1,6.7,익절,일반,42.5,0,42.65,1094937600.0,mixed,17.12707182320441,49.559082892416214,-11.94184839044652,0.08180960333063571,-11.94184839044652,-61369.0,138186.0,10.29,0.4,매일1건
2026-05-12,001500,현대차증권,KOSPI,11380.0,2026-05-22,10730.0,-5.7,5.5,중립,일반,46.2,0,44.67,5719474200.0,mixed,18.418314255983347,31.105990783410142,-23.521505376344088,-0.032381425933080264,-23.521505376344088,-441051.0,-272116.0,10.81,0.41,매일1건
2026-05-11,280360,롯데웰푸드,KOSPI,121600.0,2026-05-22,121600.0,0.0,2.2,중립,일반,44.5,0,40.54,3640217600.0,mixed,-0.896495517522411,-1.9354838709677469,-10.850439882697948,-0.11934136817343373,-10.850439882697948,26342.0,-22854.0,17.19,0.49,매일1건
2026-05-08,00104K,CJ4우(전환),KOSPI,192400.0,2026-05-22,155900.0,-19.0,4.0,중립,일반,42.6,0,40.32,729196000.0,mixed,10.574712643678152,28.78179384203481,-2.0366598778004064,0.10452013809904104,-2.0366598778004064,,,,,매일1건
2026-05-07,012510,더존비즈온,KOSPI,120300.0,2026-05-22,120000.0,-0.2,0.3,중립,일반,42.3,0,45.15,4797323400.0,mixed,38.59447004608294,41.529411764705884,-0.8244023083264662,0.36659952189259887,-0.8244023083264662,73460.0,-24536.0,36.75,5.68,매일1건
2026-05-06,000670,영풍,KOSPI,70000.0,2026-05-22,55400.0,-20.9,1.4,손절,일반,47.6,0,41.09,3669890000.0,mixed,13.268608414239491,41.918741383505,-2.5028900929008224,0.2261218071935171,-1.4084507042253502,62383.0,21474.0,,0.28,매일1건
2026-05-04,012510,더존비즈온,KOSPI,120000.0,2026-05-22,120000.0,0.0,0.6,중립,일반,42.0,0,42.05,3883800000.0,mixed,26.984126984126977,28.479657387580293,-1.0717230008243983,0.4147258264593636,-1.0717230008243983,20915.0,30022.0,36.75,5.68,매일1건
