Date,Year,Code,Name,Market,Close,Amount,p_sw,p_100plus,p_50plus,p_10plus,p_loss,ret_180d,peak_180d,sell_close,sell_date
2026-05-21,2026,011070,LG이노텍,KOSPI,838000.0,239976384000.0,0.3289364293905824,0.6393047981412318,0.7097443394915399,0.8904738904466759,0.49084697791598053,3.1026252983293645,4.2959427207637235,864000.0,2026-05-22
2026-05-20,2026,131290,티에스이,KOSDAQ,237000.0,52597173000.0,0.3286282933855264,0.615280430048352,0.7060844496440005,0.8330693602867051,0.5297937266196654,2.9535864978903037,5.485232067510548,244000.0,2026-05-22
2026-05-19,2026,440110,파두,KOSDAQ,107900.0,231308143300.0,0.3009983874528524,0.5244495352587374,0.6480386440453878,0.823449258225863,0.624148018329759,18.906394810009264,19.925857275254867,128300.0,2026-05-22
2026-05-18,2026,031330,에스에이엠티,KOSDAQ,18590.0,30905986540.0,0.6230808189092705,0.7246569953110391,0.7261883504539873,0.8354572148951166,0.5327544214811446,-16.137708445400754,-7.4771382463690195,15590.0,2026-05-22
2026-05-15,2026,031330,에스에이엠티,KOSDAQ,14300.0,93563412800.0,0.8235194771155653,0.8163135340540073,0.7935369663387051,0.8220143950115676,0.49822215242501583,9.020979020979025,30.000000000000004,15590.0,2026-05-22
2026-05-14,2026,042700,한미반도체,KOSPI,409500.0,444319785000.0,0.3442285696448195,0.6790178568614916,0.7596602197822585,0.8628651747598232,0.364153668951627,-21.733821733821735,-0.8547008547008517,320500.0,2026-05-22
2026-05-13,2026,131290,티에스이,KOSDAQ,189500.0,25426731000.0,0.38758678752841624,0.7161937037144392,0.7800999933409221,0.8808670452018063,0.42325766306636525,28.759894459102895,31.92612137203166,244000.0,2026-05-22
2026-05-12,2026,420770,기가비스,KOSDAQ,114800.0,30762611600.0,0.42564961675161217,0.6704433889062529,0.7627493054491377,0.8368123141555376,0.5080258286214714,4.355400696864109,15.853658536585357,119800.0,2026-05-22
2026-05-11,2026,011070,LG이노텍,KOSPI,688000.0,226376080000.0,0.36488994078061315,0.6944429014309972,0.775655548025119,0.87918755441444,0.45111113741308023,25.581395348837212,27.034883720930235,864000.0,2026-05-22
2026-05-08,2026,000990,DB하이텍,KOSPI,168100.0,153516148300.0,0.5033807797548807,0.7235537835925241,0.7816822440592603,0.8663135461740311,0.4509494896225204,7.733491969066031,18.73884592504462,181100.0,2026-05-22
2026-05-07,2026,011070,LG이노텍,KOSPI,637000.0,141676444000.0,0.409716208131571,0.702577410260956,0.7888609783239643,0.8744070668713323,0.32043653615602175,35.63579277864992,37.205651491365785,864000.0,2026-05-22
2026-05-06,2026,000150,두산,KOSPI,1790000.0,215254660000.0,0.3695189058931291,0.7103052909337412,0.7931502826585147,0.8702017811721502,0.3074634630992938,-11.005586592178773,3.3519553072625774,1593000.0,2026-05-22
2026-05-04,2026,010120,LS ELECTRIC,KOSPI,294000.0,438073524000.0,0.25553266236016103,0.5836952170244644,0.6623777397093272,0.8807845709612309,0.524390599766289,-4.4217687074829986,13.945578231292522,281000.0,2026-05-22
2026-04-30,2026,000500,가온전선,KOSPI,241500.0,35817106500.0,0.38744196386343643,0.6837119967935642,0.757774188095313,0.8860922532691071,0.4637114578837267,71.42857142857142,162.9399585921325,414000.0,2026-05-22
2026-04-29,2026,010120,LS ELECTRIC,KOSPI,273000.0,440988366000.0,0.2706729056823093,0.590564342910968,0.691378822029194,0.8546795358919168,0.5514392111363564,2.93040293040292,22.71062271062272,281000.0,2026-05-22
2026-04-28,2026,011070,LG이노텍,KOSPI,577000.0,236966399000.0,0.3718249863520265,0.6988789384757351,0.7859594950153568,0.8828329258566625,0.41619669607355164,49.74003466204506,51.473136915078,864000.0,2026-05-22
2026-04-27,2026,000500,가온전선,KOSPI,220500.0,25095546000.0,0.36956980521751387,0.7034236145466207,0.7705166789416199,0.8712848121169147,0.42164524021911376,87.75510204081634,187.98185941043081,414000.0,2026-05-22
2026-04-24,2026,011070,LG이노텍,KOSPI,542000.0,263483544000.0,0.40245773278451463,0.6994560633466037,0.772079970622694,0.8651244249603665,0.460764851690257,59.40959409594095,61.25461254612545,864000.0,2026-05-22
2026-04-23,2026,010060,OCI홀딩스,KOSPI,322000.0,178208646000.0,0.2627013289392183,0.6589125786861598,0.7381783071599242,0.8854416345045807,0.47767174694528847,-2.329192546583847,23.913043478260864,314500.0,2026-05-22
2026-04-22,2026,010060,OCI홀딩스,KOSPI,314000.0,196297414000.0,0.29552783924454806,0.6600289563448217,0.7475653692526828,0.8680287847541579,0.5002348527436411,0.15923566878981443,27.07006369426752,314500.0,2026-05-22
2026-04-21,2026,420770,기가비스,KOSDAQ,94400.0,21550387200.0,0.47081484597781326,0.681322469954068,0.7549073771896387,0.8543412346935817,0.4398540735613651,26.906779661016955,40.88983050847457,119800.0,2026-05-22
2026-04-20,2026,218410,RFHIC,KOSDAQ,100800.0,77867294400.0,0.2566367695481804,0.5314432693380091,0.6322505621616953,0.8480556198165305,0.5926678948852449,3.1746031746031855,25.89285714285714,104000.0,2026-05-22
2026-04-17,2026,009150,삼성전기,KOSPI,679000.0,555408420000.0,0.34166608962948114,0.6383731651052653,0.7107854967744841,0.8481823808223298,0.5321023809608928,97.34904270986746,100.73637702503682,1340000.0,2026-05-22
2026-04-16,2026,009150,삼성전기,KOSPI,639000.0,355710852000.0,0.3638401865450595,0.557503069003865,0.702573860225927,0.8770035361625274,0.5127712621295298,109.70266040688577,113.30203442879498,1340000.0,2026-05-22
2026-04-15,2026,319660,피에스케이,KOSDAQ,88300.0,61027926900.0,0.3923266750876342,0.6279072644333549,0.757797297892404,0.8532536527081147,0.4730176154702598,32.389580973952434,33.40883352208381,116900.0,2026-05-22
2026-04-14,2026,027360,아주IB투자,KOSDAQ,11330.0,362778770970.0,0.8166561529270747,0.7953551909169574,0.7775886484203597,0.8201080398142693,0.5404840881947888,39.276257722859675,76.08120035304502,15780.0,2026-05-22
2026-04-13,2026,006110,삼아알미늄,KOSPI,59700.0,65995006800.0,0.5063197856226087,0.6852799814692395,0.7729008523783917,0.8348190655518155,0.47641592112383174,61.47403685092128,75.20938023450587,96400.0,2026-05-22
2026-04-10,2026,009150,삼성전기,KOSPI,565000.0,613968550000.0,0.39807622804239834,0.6731786547628927,0.7730694626688666,0.8751066461278767,0.525345708084361,137.16814159292036,141.23893805309734,1340000.0,2026-05-22
2026-04-09,2026,095340,ISC,KOSDAQ,271000.0,161466678000.0,0.3302973971310576,0.6502432082285642,0.7347597056012444,0.8619267210480314,0.487512468769947,-22.50922509225092,7.93357933579335,210000.0,2026-05-22
2026-04-08,2026,131290,티에스이,KOSDAQ,114900.0,7621546800.0,0.4379260300587625,0.6184911327339887,0.7715843350306208,0.8172622298909858,0.43639956856420087,112.35857267188858,117.58050478677112,244000.0,2026-05-22
2026-04-07,2026,000720,현대건설,KOSPI,155900.0,198930270800.0,0.33477209784155854,0.5773482452741875,0.7437472932385402,0.8400270187965827,0.45806827255871374,-3.5920461834509254,27.26106478511867,150300.0,2026-05-22
2026-04-06,2026,000720,현대건설,KOSPI,151900.0,102150319600.0,0.322169349673717,0.5865907458157568,0.7342367125926114,0.8492900723986084,0.441752029979525,-1.0533245556286985,30.612244897959172,150300.0,2026-05-22
2026-04-03,2026,010060,OCI홀딩스,KOSPI,229500.0,114636856500.0,0.4357013622128514,0.675180931464855,0.7641616756343489,0.8582256131989271,0.47897037349398025,37.037037037037045,73.8562091503268,314500.0,2026-05-22
2026-04-02,2026,082920,비츠로셀,KOSDAQ,38700.0,36076217400.0,0.5837869406188632,0.6887042353833285,0.756630328475867,0.8526471684811031,0.5220394590153065,38.759689922480625,75.1937984496124,53700.0,2026-05-22
2026-04-01,2026,095340,ISC,KOSDAQ,264000.0,65446128000.0,0.30585298532679756,0.6289677526132744,0.6909456415197094,0.8904822551064063,0.4710430556245389,-20.45454545454546,10.795454545454541,210000.0,2026-05-22
2026-03-31,2026,006110,삼아알미늄,KOSPI,40200.0,153103066800.0,0.7535333749926575,0.7013259550393969,0.7223204082879817,0.7647824723288593,0.49391757759062105,139.80099502487562,160.19900497512438,96400.0,2026-05-22
2026-03-30,2026,082920,비츠로셀,KOSDAQ,37150.0,67087364650.0,0.6043693925589085,0.7023434932788686,0.7611303872994312,0.8275916211055417,0.5436492328931911,44.549125168236884,82.50336473755047,53700.0,2026-05-22
2026-03-27,2026,189300,인텔리안테크,KOSDAQ,129100.0,11313033000.0,0.40667734920603116,0.5676561705953888,0.7463992824633308,0.8438532332999912,0.47558936307758237,17.970565453137112,39.58171959721146,152300.0,2026-05-22
2026-03-26,2026,189300,인텔리안테크,KOSDAQ,128000.0,19133696000.0,0.39079886743420567,0.5544323237860729,0.7475955170711592,0.8462040607831517,0.4822622856787354,18.984375000000007,40.78124999999999,152300.0,2026-05-22
2026-03-25,2026,353200,대덕전자,KOSPI,88600.0,215136216400.0,0.4482147834546254,0.660551651808682,0.7394963330220782,0.8685033139627304,0.5407152375002631,70.76749435665914,75.39503386004516,151300.0,2026-05-22
2026-03-24,2026,189300,인텔리안테크,KOSDAQ,128100.0,23845302600.0,0.38596687733884516,0.5335358107514545,0.7463945675181685,0.841253399379055,0.4932170826557917,18.89149102263856,40.67135050741608,152300.0,2026-05-22
2026-03-23,2026,010120,LS ELECTRIC,KOSPI,164600.0,114755005000.0,0.4240504267268017,0.5838153899279781,0.7468903975881639,0.8164007370118604,0.4746255219650468,70.71688942891858,103.52369380315918,281000.0,2026-05-22
2026-03-20,2026,042700,한미반도체,KOSPI,309500.0,210557492500.0,0.30997352674550777,0.5797570784887621,0.7032620141177717,0.8628417437851753,0.4381748880136887,3.5541195476575194,37.64135702746365,320500.0,2026-05-22
2026-03-19,2026,131290,티에스이,KOSDAQ,124800.0,10591900800.0,0.47834208643226767,0.7214407106355132,0.7919851703884412,0.8693888351266306,0.45535915954354494,95.51282051282051,100.32051282051282,244000.0,2026-05-22
2026-03-18,2026,010120,LS ELECTRIC,KOSPI,166600.0,148563884000.0,0.47303348974139536,0.6370586901971736,0.7466401060739263,0.8656167107481093,0.4793201737515837,68.66746698679471,101.08043217286915,281000.0,2026-05-22
2026-03-17,2026,083650,비에이치아이,KOSDAQ,105100.0,54102327000.0,0.4047951282586413,0.653970231528502,0.7385901260228921,0.8418439043411602,0.4920478528414271,-25.214081826831592,7.040913415794492,78600.0,2026-05-22
2026-03-16,2026,095340,ISC,KOSDAQ,220000.0,124379640000.0,0.44859888882076226,0.640391002273458,0.7666201624740193,0.8655554423703484,0.4696461685706336,-4.545454545454541,32.95454545454546,210000.0,2026-05-22
2026-03-13,2026,00680K,미래에셋증권2우B,KOSPI,21500.0,14566357500.0,0.6140501088532853,0.6362317011357871,0.8029618552396878,0.8429563668289908,0.48529831680207586,-16.697674418604645,12.790697674418606,17910.0,2026-05-22
2026-03-12,2026,131290,티에스이,KOSDAQ,110000.0,20216130000.0,0.43531567744023536,0.6717952460066495,0.7851791164968263,0.8625225506395605,0.4473922648400999,121.81818181818183,127.2727272727273,244000.0,2026-05-22
2026-03-11,2026,420770,기가비스,KOSDAQ,77400.0,15107783400.0,0.5170487989885391,0.6669543508960103,0.7912117433626736,0.8674754496611031,0.5051208928833543,54.78036175710594,71.83462532299743,119800.0,2026-05-22
2026-03-10,2026,420770,기가비스,KOSDAQ,74000.0,17835332000.0,0.5213462129514538,0.6528479420463214,0.7762147316451826,0.8605550542978532,0.49809625801078283,61.89189189189188,79.72972972972974,119800.0,2026-05-22
2026-03-09,2026,083650,비에이치아이,KOSDAQ,97700.0,96043496500.0,0.473864791558946,0.6705284868358083,0.7363818728117721,0.8367882439430235,0.48816804670064906,-19.549641760491298,16.888433981576245,78600.0,2026-05-22
2026-03-06,2026,095340,ISC,KOSDAQ,211500.0,71116240500.0,0.5202723862862987,0.7161816395482892,0.7877326041404054,0.886300587741118,0.4314988364862032,-0.7092198581560294,38.29787234042554,210000.0,2026-05-22
2026-03-05,2026,095340,ISC,KOSDAQ,202000.0,88548720000.0,0.4647234725097915,0.6789621296341104,0.799581705530569,0.8714005604055864,0.43854897442430174,3.960396039603964,44.8019801980198,210000.0,2026-05-22
2026-03-04,2026,010950,S-Oil,KOSPI,126500.0,1368169731500.0,0.4086947802195801,0.5298037683558081,0.556689721939428,0.6528253611333686,0.5595161741099417,-13.833992094861658,12.332015810276676,109000.0,2026-05-22
2026-03-03,2026,218410,RFHIC,KOSDAQ,63800.0,81546927000.0,0.5252256960607726,0.7190902138794751,0.7867275745411222,0.846074291498025,0.5153682592492775,63.00940438871474,98.90282131661444,104000.0,2026-05-22
2026-02-27,2026,095340,ISC,KOSDAQ,192800.0,38612056000.0,0.5643855234828336,0.7532260490183365,0.8012040285377863,0.8690396003599272,0.43009156308512114,8.92116182572613,51.71161825726141,210000.0,2026-05-22
2026-02-26,2026,420770,기가비스,KOSDAQ,70600.0,11071280200.0,0.6161800263214711,0.7452423910906708,0.8008293105532457,0.8741674046102647,0.452115194808736,69.68838526912182,88.38526912181304,119800.0,2026-05-22
2026-02-25,2026,277810,레인보우로보틱스,KOSDAQ,788000.0,257169316000.0,0.5496556547953395,0.6917445233125438,0.7995048630280444,0.8715383498879749,0.40869761433108626,-4.314720812182737,24.238578680203048,754000.0,2026-05-22
2026-02-24,2026,420770,기가비스,KOSDAQ,68700.0,14264661900.0,0.5663790856811808,0.7262307440214436,0.7995835593806493,0.8604233522982033,0.4789291387246762,74.38136826783115,93.59534206695778,119800.0,2026-05-22
2026-02-23,2026,277810,레인보우로보틱스,KOSDAQ,695000.0,82869715000.0,0.4539206528030114,0.6194820346030495,0.7790546972100791,0.8288662832252937,0.4216634887826308,8.489208633093526,40.86330935251799,754000.0,2026-05-22
2026-02-20,2026,031980,피에스케이홀딩스,KOSDAQ,90600.0,21907442400.0,0.4723897339807247,0.703087799678847,0.7905274655659494,0.8568835561092512,0.44692604681283304,51.32450331125828,53.86313465783665,137100.0,2026-05-22
2026-02-19,2026,214370,케어젠,KOSDAQ,145200.0,50590003200.0,0.4676109802593033,0.7012104681341219,0.760886148348246,0.8818550916739262,0.4983596385223631,-38.63636363636363,5.9228650137741035,89100.0,2026-05-22
2026-02-13,2026,010170,대한광통신,KOSDAQ,3450.0,76332971550.0,0.8280288284516873,0.773960111004794,0.7562708718387057,0.849519301080469,0.48264162350195133,604.3478260869565,813.0434782608695,24300.0,2026-05-22
2026-02-12,2026,240810,원익IPS,KOSDAQ,133400.0,81164962200.0,0.3697937708832854,0.6648626725026268,0.7407737928871988,0.8643697360395144,0.497288176298919,-8.770614692653677,13.56821589205397,121700.0,2026-05-22
2026-02-11,2026,010170,대한광통신,KOSDAQ,3420.0,58855570020.0,0.83200585385189,0.765300352211495,0.754951868914424,0.8366418284977246,0.4652376491999521,610.5263157894738,821.0526315789474,24300.0,2026-05-22
2026-02-10,2026,047040,대우건설,KOSPI,7060.0,361980390600.0,0.8930493783331422,0.8567417230722362,0.8283693606514054,0.8086972461428439,0.4748636484782625,304.3909348441926,471.5297450424929,28550.0,2026-05-22
2026-02-09,2026,032820,우리기술,KOSDAQ,9520.0,105706586160.0,0.8691307284707301,0.8104846957287791,0.8007259697755466,0.8637348807067622,0.44269098478066315,76.47058823529412,217.2268907563025,16800.0,2026-05-22
2026-02-06,2026,032820,우리기술,KOSDAQ,9490.0,103407879900.0,0.8746491969114832,0.81429008676122,0.8079558531439963,0.864248537647609,0.43698315477287053,77.02845100105374,218.22971548998947,16800.0,2026-05-22
2026-02-05,2026,420770,기가비스,KOSDAQ,59800.0,12525528600.0,0.5868327715582852,0.7544358134437442,0.7911216021762885,0.8432919389238793,0.4339071973273361,100.33444816053515,122.40802675585284,119800.0,2026-05-22
2026-02-04,2026,457190,이수스페셜티케미컬,KOSPI,122200.0,242949119400.0,0.4787277691819064,0.7108162668305077,0.7584924026374682,0.8720634734455295,0.5208670974408146,-16.12111292962357,7.855973813420625,102500.0,2026-05-22
2026-02-03,2026,000250,삼천당제약,KOSDAQ,529000.0,207368000000.0,0.537889498507414,0.712651227454906,0.7987081641568058,0.8984391400578204,0.444117042878385,-29.67863894139886,133.0812854442344,372000.0,2026-05-22
2026-02-02,2026,277810,레인보우로보틱스,KOSDAQ,712000.0,283986896000.0,0.5392187120331048,0.7025903613484674,0.810317774689421,0.806964345073982,0.43506002682621925,5.89887640449438,37.5,754000.0,2026-05-22
2026-01-30,2026,099320,쎄트렉아이,KOSDAQ,196500.0,93092071500.0,0.4445151877645437,0.61646143406195,0.7416387121952291,0.8602581430643841,0.5378702604970695,-21.475826972010182,13.994910941475824,154300.0,2026-05-22
2026-01-29,2026,000250,삼천당제약,KOSDAQ,485000.0,279824630000.0,0.5236435931914519,0.7220380126105552,0.7984630595055806,0.8800629188365565,0.4909211172947505,-23.298969072164944,154.22680412371133,372000.0,2026-05-22
2026-01-28,2026,402340,SK스퀘어,KOSPI,504000.0,270171216000.0,0.41976525860045616,0.7339304025408325,0.7170612945484006,0.8668260110313519,0.4641963356620452,135.11904761904762,144.24603174603178,1185000.0,2026-05-22
2026-01-27,2026,457190,이수스페셜티케미컬,KOSPI,104300.0,136582623100.0,0.4925034348908501,0.7110738384583388,0.7531321614598251,0.8378748102467642,0.5159224803846367,-1.7257909875359578,26.36625119846596,102500.0,2026-05-22
2026-01-26,2026,058610,에스피지,KOSDAQ,120000.0,422834640000.0,0.40286108156242106,0.6095133051436088,0.747881198171351,0.8261807211482116,0.5587870516647582,7.08333333333333,38.083333333333336,128500.0,2026-05-22
2026-01-23,2026,022100,포스코DX,KOSPI,39600.0,77444571600.0,0.6466288754656462,0.691858511690489,0.741804581865077,0.7714765296166523,0.488767042345719,-17.17171717171717,5.934343434343425,32800.0,2026-05-22
2026-01-22,2026,000990,DB하이텍,KOSPI,93100.0,80679063500.0,0.6501240894267769,0.7360806367440523,0.7404415213816906,0.792105576605097,0.46858917839429853,94.5220193340494,114.39312567132114,181100.0,2026-05-22
2026-01-21,2026,001430,세아베스틸지주,KOSPI,76500.0,47350593000.0,0.5255936473895083,0.7178632222851312,0.7803125650310726,0.8576651935682225,0.4666350569503177,-17.777777777777782,20.915032679738555,62900.0,2026-05-22
2026-01-20,2026,099320,쎄트렉아이,KOSDAQ,134800.0,71721014000.0,0.5338921323992011,0.696073178364977,0.7549872786827714,0.8711267788605627,0.4630320056650511,14.465875370919878,66.17210682492582,154300.0,2026-05-22
2026-01-19,2026,001430,세아베스틸지주,KOSPI,71500.0,21864628500.0,0.5231176893775569,0.7248125748522347,0.7761431116462335,0.8541961825714504,0.4785806372092448,-12.027972027972023,29.370629370629374,62900.0,2026-05-22
2026-01-16,2026,437730,삼현,KOSDAQ,70900.0,162200766000.0,0.3735121994771498,0.5554447920390114,0.6687888468448262,0.789225782171336,0.6036970350077139,-22.990126939351196,7.616361071932309,54600.0,2026-05-22
2026-01-15,2026,007810,코리아써키트,KOSPI,60500.0,73199736500.0,0.3554776554670897,0.5627019110707862,0.654381593198485,0.8201972456705776,0.5633404191524253,66.44628099173553,75.20661157024793,100700.0,2026-05-22
2026-01-14,2026,007810,코리아써키트,KOSPI,51800.0,16854787600.0,0.39752865931937703,0.7022413415924799,0.7358880020586709,0.8440551337415452,0.49078092888645236,94.4015444015444,104.63320463320463,100700.0,2026-05-22
2026-01-13,2026,098460,고영,KOSDAQ,29750.0,654787206500.0,0.6914253294696907,0.6969273536373065,0.7501864675912515,0.8086817658212776,0.4735571032007359,32.436974789915965,51.26050420168067,39400.0,2026-05-22
2026-01-12,2026,007810,코리아써키트,KOSPI,49900.0,23298060500.0,0.3994729781274543,0.6619468823898341,0.714359906040429,0.8621862647847683,0.5034261518333306,101.80360721442887,112.42484969939879,100700.0,2026-05-22
2026-01-09,2026,001430,세아베스틸지주,KOSPI,61700.0,35448624400.0,0.5511906687051493,0.6980328701036973,0.7381803295999912,0.8608644917910233,0.5079801494748494,1.944894651539708,49.91896272285252,62900.0,2026-05-22
2026-01-08,2026,080220,제주반도체,KOSDAQ,33000.0,66867306000.0,0.7059760664691713,0.7497036375950409,0.7895104963671478,0.8047448786351081,0.45487986785579837,259.6969696969697,315.45454545454544,118700.0,2026-05-22
2026-01-07,2026,307950,현대오토에버,KOSPI,394500.0,1032512620500.0,0.4725101578350251,0.6608779928691614,0.7364726566788949,0.7958803046953297,0.5199923899828682,59.949302915082384,83.2699619771863,631000.0,2026-05-22
2026-01-06,2026,099320,쎄트렉아이,KOSDAQ,100600.0,47974228600.0,0.57008024835783,0.7201548198153459,0.7475298216235693,0.7803621559142085,0.5190224529970642,53.37972166998013,122.66401590457257,154300.0,2026-05-22
2026-01-05,2026,347700,스피어,KOSDAQ,19100.0,171104026600.0,0.6556964218425583,0.7860890796317729,0.7969509922065351,0.799518166190851,0.5096487428857716,124.08376963350784,200.0,42800.0,2026-05-22
2026-01-02,2026,001430,세아베스틸지주,KOSPI,55900.0,64935284700.0,0.5406855282677328,0.678570900813352,0.7461609576500449,0.8494294521027592,0.5114787092069402,12.522361359570656,65.47406082289804,62900.0,2026-05-22
2025-12-30,2025,007810,코리아써키트,KOSPI,48300.0,66163030500.0,0.38104274107683217,0.6679265981780619,0.7235367561513132,0.841331030027729,0.6192409921707378,108.48861283643893,119.46169772256727,100700.0,2026-05-22
2025-12-29,2025,319400,현대무벡스,KOSDAQ,20350.0,345944647950.0,0.46304754220289246,0.7991516296292653,0.8482053174424955,0.8299780883776748,0.5468756253641978,83.78378378378379,147.66584766584768,37400.0,2026-05-22
2025-12-26,2025,319400,현대무벡스,KOSDAQ,19260.0,499644171900.0,0.6702923558575726,0.7963153250247955,0.8512647175229877,0.8202722201364409,0.5260600167435512,94.18483904465214,161.6822429906542,37400.0,2026-05-22
