전략,매수,SW,100+,50+,10+,손절,SW%,100+%,50+%,10+%,손절%,투자만,수익만,수익률%
SuperScore / weekly_5,1155,327,552,716,1021,182,28.3,47.8,62.0,88.4,15.8,11550.0,12975,112.3
p_sw / weekly_3,693,217,363,452,612,106,31.3,52.4,65.2,88.3,15.3,6930.0,7476,107.9
SuperScore / daily_1,1071,301,506,658,939,167,28.1,47.2,61.4,87.7,15.6,10710.0,11538,107.7
SuperScore / weekly_3,693,211,352,443,611,110,30.4,50.8,63.9,88.2,15.9,6930.0,7425,107.1
StrongScore_v2 / weekly_3,693,213,351,438,607,129,30.7,50.6,63.2,87.6,18.6,6930.0,7419,107.1
StrongScore_v1 / weekly_3,693,212,346,435,611,129,30.6,49.9,62.8,88.2,18.6,6930.0,7349,106.0
p_sw / daily_1,1071,302,510,670,943,163,28.2,47.6,62.6,88.0,15.2,10710.0,11287,105.4
p_sw / weekly_5,1155,326,554,722,1020,171,28.2,48.0,62.5,88.3,14.8,11550.0,11967,103.6
StrongScore_v2 / weekly_5,1155,334,544,706,1012,195,28.9,47.1,61.1,87.6,16.9,11550.0,11956,103.5
StrongScore_v1 / weekly_5,1155,334,546,706,1015,198,28.9,47.3,61.1,87.9,17.1,11550.0,11945,103.4
StrongScore_v1 / daily_1,1071,295,504,647,941,186,27.5,47.1,60.4,87.9,17.4,10710.0,10941,102.2
StrongScore_v2 / daily_1,1071,297,503,647,939,188,27.7,47.0,60.4,87.7,17.6,10710.0,10906,101.8
p_100plus / weekly_3,693,196,325,402,604,136,28.3,46.9,58.0,87.2,19.6,6930.0,6196,89.4
p_100plus / daily_1,1071,263,462,610,938,192,24.6,43.1,57.0,87.6,17.9,10710.0,8977,83.8
p_100plus / weekly_5,1155,289,502,653,1014,219,25.0,43.5,56.5,87.8,19.0,11550.0,9583,83.0
p_50plus / weekly_5,1155,276,496,671,1021,228,23.9,42.9,58.1,88.4,19.7,11550.0,9361,81.1
p_50plus / daily_1,1071,253,466,618,969,195,23.6,43.5,57.7,90.5,18.2,10710.0,8360,78.1
p_50plus / weekly_3,693,171,313,404,618,144,24.7,45.2,58.3,89.2,20.8,6930.0,5413,78.1
p_10plus / daily_1,1071,175,407,626,961,205,16.3,38.0,58.5,89.7,19.1,10710.0,6973,65.1
p_10plus / weekly_5,1155,186,431,678,1028,224,16.1,37.3,58.7,89.0,19.4,11550.0,7153,61.9
p_10plus / weekly_3,693,108,267,417,625,127,15.6,38.5,60.2,90.2,18.3,6930.0,4059,58.6
SafeScore / daily_1,1071,84,186,339,775,113,7.8,17.4,31.7,72.4,10.6,10710.0,3955,36.9
SafeScore / weekly_5,1155,91,198,375,836,135,7.9,17.1,32.5,72.4,11.7,11550.0,4096,35.5
SafeScore / weekly_3,693,42,107,205,486,79,6.1,15.4,29.6,70.1,11.4,6930.0,1809,26.1
