Date,등급,가능성태그,예상수익률,Code,Name,Market,Close,Amount,Score,StrongScore,peak_pred,p_sw,p_100plus,p_50plus,p_loss,ret_180d,peak_180d,sell_close,sell_date,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,Year,YYYYMM,p_sw%,p_100plus%,p_50plus%,p_loss%,week,하락,대박실패
2023-01-03,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+55% (대상승),226950,올릭스,KOSDAQ,22600.0,4536565800.0,47.01,2.29,54.7,0.5987989169077257,0.529851788730438,0.6512150114888804,0.4777733217359836,-27.0,18.6,16500.0,2023-09-22,25.207756232686982,-1.7391304347826098,-36.24823695345557,-46.698113207547166,0.2107276864730012,-0.8771929824561431,2023,2023-01,59.9,53.0,65.1,47.8,2023-01,1,0
2023-01-09,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+46% (상승),020560,아시아나항공,KOSPI,14000.0,4361980000.0,40.97,2.85,45.9,0.6931103320021247,0.6715924651673261,0.6605855364902363,0.4481998771463245,-28.4,12.5,10030.0,2023-10-04,21.212121212121215,-4.436860068259385,-21.78770949720671,-40.42553191489362,0.4438091348444639,-5.405405405405405,2023,2023-01,69.3,67.2,66.1,44.8,2023-02,1,0
2023-01-09,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+33% (상승),002790,아모레퍼시픽홀딩스,KOSPI,37850.0,20826319050.0,43.82,2.29,32.6,0.5812805678819495,0.669512221655895,0.6112166833310693,0.5363317665879097,-21.5,19.3,29700.0,2023-10-04,50.79681274900398,2.435723951285529,-7.795371498172965,-27.211538461538463,0.6741793991083839,-0.2635046113307004,2023,2023-01,58.1,67.0,61.1,53.6,2023-02,1,0
2023-01-10,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+66% (대상승),023590,다우기술,KOSPI,22100.0,25586451800.0,71.1,2.35,66.4,0.576523210745239,0.586149278393778,0.6933505928495305,0.4780704117884879,-22.6,10.6,17110.0,2023-10-05,22.437673130193915,19.45945945945946,4.0000000000000036,-5.555555555555558,0.155687521254506,-3.0701754385964897,2023,2023-01,57.7,58.6,69.3,47.8,2023-02,1,0
2023-01-11,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+57% (대상승),023590,다우기술,KOSPI,22150.0,13489637950.0,44.61,2.42,56.8,0.5822351250431904,0.6085255506179097,0.6851592970511864,0.4623125669979598,-22.3,10.4,17220.0,2023-10-06,23.055555555555564,19.08602150537635,4.976303317535535,-5.341880341880345,0.1700579045122361,-4.731182795698929,2023,2023-01,58.2,60.9,68.5,46.2,2023-02,1,0
2023-01-12,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+127% (대박),950160,코오롱티슈진,KOSDAQ,10550.0,4731347950.0,43.33,2.37,126.8,0.6453956930193011,0.5579126537302947,0.5708041542618889,0.4865163867482287,-21.1,8.4,8320.0,2023-10-10,-34.267912772585674,-34.267912772585674,-34.267912772585674,-56.938775510204074,-1.0197344275769535,-56.938775510204074,2023,2023-01,64.5,55.8,57.1,48.7,2023-02,1,1
2023-01-12,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+54% (대상승),023590,다우기술,KOSPI,22700.0,5536688900.0,42.75,1.46,54.3,0.249310466342287,0.6232746481443168,0.6893757955776757,0.4556320835090133,-24.6,7.7,17110.0,2023-10-10,28.24858757062147,21.3903743315508,10.73170731707318,-2.991452991452992,0.1872756787881805,-2.3655913978494647,2023,2023-01,24.9,62.3,68.9,45.6,2023-02,1,1
2023-01-16,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+71% (대상승),032350,롯데관광개발,KOSPI,14150.0,26088298400.0,42.68,3.16,71.4,0.809618560158448,0.7133636532937075,0.699913264898348,0.5202758954471545,-23.0,24.9,10890.0,2023-10-12,50.371944739638685,24.122807017543856,-8.414239482200648,-26.10966057441253,0.7837797364796583,-6.29139072847682,2023,2023-01,81.0,71.3,70.0,52.0,2023-03,1,0
2023-01-16,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+54% (대상승),002790,아모레퍼시픽홀딩스,KOSPI,38300.0,14594981000.0,45.55,2.35,53.6,0.6081724257526229,0.6516920427000324,0.5991306839349687,0.5245239301756109,-29.4,17.9,27050.0,2023-10-12,49.31773879142301,-1.5424164524421635,-5.315203955500614,-26.34615384615384,0.6591656831508687,-1.033591731266148,2023,2023-01,60.8,65.2,59.9,52.5,2023-03,1,0
2023-01-17,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+70% (대상승),003530,한화투자증권,KOSPI,2905.0,14011770745.0,41.94,1.55,69.9,0.3615964369952318,0.5345170285256486,0.6486084033367354,0.4913511541793662,-20.5,34.4,2310.0,2023-10-13,22.83298097251585,-11.432926829268297,-37.25701943844493,-49.740484429065745,0.0624309861547617,-7.1884984025559095,2023,2023-01,36.2,53.5,64.9,49.1,2023-03,1,0
2023-01-18,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+55% (대상승),020560,아시아나항공,KOSPI,15400.0,13504568000.0,42.48,2.71,55.4,0.6328601615202536,0.7369950893668221,0.6927424219591135,0.4940086596675768,-35.1,2.3,10000.0,2023-10-16,39.99999999999999,5.47945205479452,-12.250712250712247,-34.468085106382986,0.477541504584608,-0.3236245954692518,2023,2023-01,63.3,73.7,69.3,49.4,2023-03,1,1
