순위,Date,grade,Name,Code,Market,Close,ChangeRatio,avg_score,n_presets,ret_180d,ret_120d,ret_240d,ret_365d
1,2022-07-22,,금양,001570,KOSPI,5520,5.3,45.6,1,1189.9,348.4,1608.3,1677.2
2,2025-07-08,B,대한광통신,010170,KOSDAQ,1009,11.1,56.8,4,1162.6,217.6,,
3,2022-06-07,,금양,001570,KOSPI,5270,4.2,54.0,1,649.5,436.1,915.2,1953.1
4,2021-03-22,B,위메이드,112040,KOSDAQ,24753,10.9,50.7,2,618.3,148.6,318.9,125.0
5,2023-07-20,B,신성델타테크,065350,KOSDAQ,13190,8.4,48.3,1,585.4,339.0,357.9,574.0
6,2022-08-01,,금양,001570,KOSPI,9560,11.9,51.0,2,584.1,159.4,1034.9,726.4
7,2025-05-19,B,원익홀딩스,030530,KOSDAQ,5310,15.8,57.4,3,582.7,503.6,489.5,
8,2025-06-16,B,우리기술,032820,KOSDAQ,3380,24.0,55.4,2,547.9,16.7,,
9,2025-01-09,B,로보티즈,108490,KOSDAQ,29896,19.0,63.5,3,539.9,136.8,751.3,
10,2023-01-03,B,루닛,328130,KOSDAQ,7377,13.0,47.2,1,538.9,416.9,423.6,206.6
11,2025-06-19,B,현대무벡스,319400,KOSDAQ,4825,10.2,56.0,1,531.1,134.0,,
12,2025-04-18,B,디앤디파마텍,347850,KOSDAQ,14864,16.5,47.2,1,521.6,191.4,436.9,
13,2024-12-18,,HJ중공업,097230,KOSPI,5390,28.3,51.8,1,513.2,37.1,313.7,
14,2023-03-28,,포스코DX,022100,KOSPI,8640,26.5,71.9,1,498.4,526.2,507.6,249.5
15,2024-05-30,,태성,323280,KOSDAQ,6812,25.2,59.7,1,445.4,317.7,221.5,489.4
16,2024-09-20,B,아이티센글로벌,124500,KOSDAQ,5720,16.5,58.9,3,437.6,13.3,223.3,739.2
17,2025-01-31,,씨어스,458870,KOSDAQ,4886,3.8,51.6,1,431.0,120.1,964.8,
18,2025-05-02,B,디앤디파마텍,347850,KOSDAQ,18868,11.9,47.3,1,426.3,268.7,317.1,
19,2021-04-02,B,위메이드맥스,101730,KOSDAQ,7930,14.8,55.1,4,424.6,29.9,222.2,94.8
20,2025-07-30,,삼성전기,009150,KOSPI,151900,10.6,68.0,4,422.7,82.4,,
21,2025-04-14,B,큐리옥스바이오시스템즈,445680,KOSDAQ,22000,11.4,46.6,1,416.8,219.1,249.5,
22,2022-09-14,B,에코프로,086520,KOSDAQ,25613,7.1,42.2,1,407.1,150.5,862.9,352.7
23,2022-07-19,,코스모화학,005420,KOSPI,17366,15.7,57.9,3,406.5,27.5,219.6,111.9
24,2020-04-21,,001470,001470,?,819,8.2,46.4,1,405.5,208.3,257.1,160.1
25,2021-03-04,,한전기술,052690,KOSPI,19100,7.6,52.2,1,395.8,146.6,356.5,280.6
26,2024-12-20,,HJ중공업,097230,KOSPI,5850,12.7,50.6,4,395.7,27.5,276.1,
27,2022-11-30,,포스코DX,022100,KOSPI,7020,9.9,60.1,4,390.0,66.4,687.7,432.1
28,2020-10-26,,HMM,011200,KOSPI,8820,9.3,49.1,1,388.7,280.4,240.1,199.3
29,2024-11-13,B,지엔씨에너지,119850,KOSDAQ,7590,12.8,49.3,2,387.5,260.3,401.3,282.1
