Date,YYYYMM,Year,Code,Name,Market,Close,peak_180d,ret_180d,sell_date,Score,Amount,chart_pattern,past_60,past_120,pos_252_high,For_5d,Inst_5d,For_20d,Inst_20d,PER_num,PBR_num,시총_num
2023-07-14,2023-07,2023,065350,신성델타테크,KOSDAQ,12040.0,1434.8837209302326,757.9734219269103,2024-04-09,51.68,74018982240.0,downtrend,-14.567901234567904,28.148148148148145,-20.09237875288684,7708.0,-26570.0,-15957.0,-6520.0,62.15,5.42,1349500000000.0
2023-07-20,2023-07,2023,065350,신성델타테크,KOSDAQ,13190.0,1301.0614101592114,585.3677028051554,2024-04-16,48.28,36318282490.0,sideways,3.1355932203389836,50.06165228113439,-6.312548113933792,199904.0,56377.0,220072.0,-7918.0,62.15,5.42,1349500000000.0
2025-07-08,2025-07,2025,010170,대한광통신,KOSDAQ,1009.0,1198.3151635282456,1162.6362735381565,2026-04-03,55.39,7963975451.0,persistent_uptrend,89.9581589958159,9.265944645006009,-13.523809523809527,,,,,,49.49,3778300000000.0
2025-07-08,2025-07,2025,010170,대한광통신,KOSDAQ,1009.0,1198.3151635282456,1162.6362735381565,2026-04-03,59.38,7963975451.0,persistent_uptrend,89.9581589958159,9.265944645006009,-13.523809523809527,,,,,,49.49,3778300000000.0
2025-07-08,2025-07,2025,010170,대한광통신,KOSDAQ,1009.0,1198.3151635282456,1162.6362735381565,2026-04-03,60.23,7963975451.0,persistent_uptrend,89.9581589958159,9.265944645006009,-13.523809523809527,,,,,,49.49,3778300000000.0
2025-07-08,2025-07,2025,010170,대한광통신,KOSDAQ,1009.0,1198.3151635282456,1162.6362735381565,2026-04-03,52.11,7963975451.0,persistent_uptrend,89.9581589958159,9.265944645006009,-13.523809523809527,,,,,,49.49,3778300000000.0
2024-04-25,2024-04,2024,033790,피노,KOSDAQ,1472.0,1082.7445652173913,280.4347826086956,2025-01-22,44.11,8216680448.0,mixed,9.48905109489051,35.67839195979901,-33.98533007334963,,,,,,8.64,1029100000000.0
2025-06-19,2025-06,2025,319400,현대무벡스,KOSDAQ,4825.0,944.5595854922279,531.0880829015545,2026-03-17,55.98,27724652650.0,mixed,22.00557103064067,33.33333333333333,-2.5583982202447175,694151.0,121370.0,164133.0,146601.0,377.78,25.7,4165500000000.0
2025-05-19,2025-05,2025,030530,원익홀딩스,KOSDAQ,5310.0,852.919020715631,582.6741996233521,2026-02-10,53.44,262664863560.0,mixed,31.56384505021521,100.21834061135371,-6.045081967213117,,,,,79.01,2.14,2166500000000.0
2025-05-19,2025-05,2025,030530,원익홀딩스,KOSDAQ,5310.0,852.919020715631,582.6741996233521,2026-02-10,60.44,262664863560.0,mixed,31.56384505021521,100.21834061135371,-6.045081967213117,,,,,79.01,2.14,2166500000000.0
