Date,grade,Name,Code,Market,Close,ChangeRatio,avg_score,n_presets,ret_120d,ret_180d,ret_240d,ret_365d
2026-05-15,S,오리온홀딩스,001800,KOSPI,28300,14.1,72.2,4,,,,
2026-05-11,S,휴온스,243070,KOSDAQ,34250,13.2,68.3,4,,,,
2026-05-11,S,한솔홀딩스,004150,KOSPI,4150,12.8,68.1,4,,,,
2026-05-04,S,SK네트웍스,001740,KOSPI,6590,12.3,68.8,4,,,,
2026-04-28,S,한국철강,104700,KOSPI,11440,10.3,67.7,4,,,,
2026-04-23,S,유니드,014830,KOSPI,95600,11.3,65.3,4,,,,
2026-04-03,V,GS글로벌,001250,KOSPI,3170,22.2,77.4,3,,,,
2026-03-26,S,무림P&P,009580,KOSPI,3005,10.3,68.3,4,,,,
2026-03-26,S,태림포장,011280,KOSPI,2495,13.4,67.2,4,,,,
2026-02-25,V,명신산업,009900,KOSPI,11000,18.9,78.2,3,,,,
2026-02-24,V,한국토지신탁,034830,KOSPI,1716,16.8,76.0,3,,,,
2026-02-20,V,동양생명,082640,KOSPI,8480,15.8,76.7,3,,,,
2026-02-13,S,유화증권,003460,KOSPI,3495,11.3,67.6,4,,,,
2026-02-10,S,현대홈쇼핑,057050,KOSPI,67000,14.7,72.5,4,,,,
2026-02-05,S,대동,000490,KOSPI,11690,8.8,69.4,4,,,,
2026-02-03,V,선진,136490,KOSPI,13240,22.8,75.2,3,,,,
2026-01-30,S,DB,012030,KOSPI,1832,10.8,70.9,4,,,,
2026-01-30,V,SK네트웍스,001740,KOSPI,5600,15.8,75.3,3,,,,
2026-01-29,S,유진투자증권,001200,KOSPI,4310,11.7,70.2,4,,,,
2026-01-28,V,시노펙스,025320,KOSDAQ,7560,13.0,79.0,1,,,,
2026-01-27,S,SK텔레콤,017670,KOSPI,69400,12.3,66.5,4,,,,
2026-01-26,S,현대비앤지스틸,004560,KOSPI,13980,11.0,70.3,4,,,,
2026-01-16,S,대우건설,047040,KOSPI,4500,13.4,70.2,4,,,,
2026-01-15,V,포스코엠텍,009520,KOSDAQ,19780,21.3,76.5,3,,,,
2026-01-14,S,OCI,456040,KOSPI,73100,14.0,72.2,4,,,,
2026-01-13,S,POSCO홀딩스,005490,KOSPI,352500,13.9,66.4,4,,,,
2025-12-30,S,에스에이엠티,031330,KOSDAQ,4150,13.4,66.4,4,,,,
2025-12-30,S,무학,033920,KOSPI,9450,13.3,65.9,4,,,,
2025-12-29,S,이구산업,025820,KOSPI,6090,11.3,71.0,4,,,,
2025-12-15,S,이마트,139480,KOSPI,89400,8.8,65.3,4,,,,
2025-12-09,V,경인양행,012610,KOSPI,3855,18.2,75.2,3,,,,
2025-12-05,S,아이엘,307180,KOSDAQ,3140,10.8,69.8,4,,,,
2025-12-03,S,사조산업,007160,KOSPI,59000,12.8,69.6,4,,,,
2025-11-14,S,삼영,003720,KOSPI,6060,12.6,67.1,4,104.3,,,
2025-11-12,S,코오롱생명과학,102940,KOSDAQ,36900,13.9,65.9,4,76.7,,,
2025-11-10,S,한국앤컴퍼니,000240,KOSPI,27700,12.6,69.0,4,-9.4,,,
2025-11-04,V,SK바이오사이언스,302440,KOSPI,60100,18.3,79.1,3,-28.4,,,
2025-10-29,S,대원전선,006340,KOSPI,3525,11.4,65.9,4,155.9,,,
2025-10-27,V,차바이오텍,085660,KOSDAQ,13240,17.2,78.6,3,30.4,,,
2025-10-23,S,포스코인터내셔널,047050,KOSPI,59800,9.5,66.3,4,28.4,,,
2025-10-14,V,성호전자,043260,KOSDAQ,1490,16.7,77.5,3,2658.4,,,
2025-10-13,S,대한전선,001440,KOSPI,18140,10.1,66.5,4,73.1,,,
2025-10-13,S,성호전자,043260,KOSDAQ,1277,11.5,66.4,4,3235.9,,,
2025-10-01,S,SK디앤디,210980,KOSPI,12670,13.2,65.6,4,2.1,,,
2025-09-29,S,SK디앤디,210980,KOSPI,11360,9.3,65.3,4,15.5,,,
2025-09-25,S,네오티스,085910,KOSDAQ,3805,13.9,69.6,4,445.3,,,
2025-09-22,S,두산로보틱스,454910,KOSPI,71200,7.2,65.3,4,24.7,,,
2025-09-19,S,SFA반도체,036540,KOSDAQ,4085,9.1,65.5,4,67.0,,,
2025-09-18,S,제우스,079370,KOSDAQ,15600,12.4,72.4,4,5.4,,,
2025-09-17,S,한국항공우주,047810,KOSPI,115000,14.8,72.3,4,61.5,,,
2025-09-16,S,유니퀘스트,077500,KOSPI,7410,9.0,65.9,4,-14.2,,,
2025-09-12,V,한양디지텍,078350,KOSDAQ,12850,21.3,75.5,3,96.1,,,
2025-09-11,S,쎄트렉아이,099320,KOSDAQ,59500,13.6,65.3,4,224.7,,,
2025-09-10,S,에스티큐브,052020,KOSDAQ,8900,11.2,65.2,4,102.8,,,
2025-09-09,S,금강공업,014280,KOSPI,5630,12.9,67.2,4,-9.6,,,
2025-09-09,V,코리아써키트,007810,KOSPI,15130,15.5,75.5,3,241.7,,,
2025-09-05,S,SK오션플랜트,100090,KOSPI,25600,12.5,69.3,4,-30.4,,,
2025-09-03,V,삼화콘덴서,001820,KOSPI,31650,19.2,75.7,3,49.8,,,
2025-09-02,S,메지온,140410,KOSDAQ,48550,14.8,68.1,4,164.9,,,
2025-08-29,S,피에스케이,319660,KOSDAQ,24500,10.1,67.2,4,150.2,,,
2025-08-22,V,인텍플러스,064290,KOSDAQ,11490,23.3,76.3,3,44.9,146.3,,
2025-08-18,S,티에이치엔,019180,KOSPI,3480,9.4,67.2,4,136.8,119.5,,
2025-08-14,S,삼영,003720,KOSPI,4850,8.7,67.6,4,69.7,155.3,,
2025-08-11,S,동화기업,025900,KOSDAQ,10380,7.7,65.0,4,-4.8,2.2,,
2025-08-08,S,유니셈,036200,KOSDAQ,7690,11.6,66.0,4,33.8,64.8,,
2025-08-06,S,이수스페셜티케미컬,457190,KOSPI,51100,10.6,66.2,4,110.4,138.4,,
2025-07-30,S,삼성전기,009150,KOSPI,151900,10.6,68.0,4,82.4,422.7,,
2025-07-25,S,LG디스플레이,034220,KOSPI,10050,9.0,66.6,4,26.0,54.0,,
2025-07-22,V,비에이치,090460,KOSPI,16600,19.3,75.7,3,-1.3,89.2,,
2025-07-21,S,롯데에너지머티리얼즈,020150,KOSPI,26450,12.1,65.1,4,27.6,84.7,,
2025-07-18,V,PI첨단소재,178920,KOSPI,21400,15.1,76.4,3,-27.0,11.7,,
2025-07-18,V,태경비케이,014580,KOSPI,5980,18.2,75.6,3,-24.7,-22.5,,
2025-07-15,S,LB세미콘,061970,KOSDAQ,4015,12.9,67.4,4,-0.9,3.5,,
2025-07-11,S,코세스,089890,KOSDAQ,8160,11.6,66.4,4,152.5,174.5,,
2025-07-09,S,광동제약,009290,KOSPI,6440,7.9,68.2,4,-9.3,26.7,,
2025-07-09,S,샘표,007540,KOSPI,51500,12.0,68.1,4,-6.6,2.1,,
2025-07-02,S,해태제과식품,101530,KOSPI,8080,12.1,70.4,4,-11.8,-22.6,,
2025-07-02,S,셀트리온제약,068760,KOSDAQ,53149,8.2,68.2,4,14.2,7.2,,
2025-06-26,S,이수화학,005950,KOSPI,6710,11.8,70.8,4,30.6,18.0,,
2025-06-25,S,롯데손해보험,000400,KOSPI,1934,11.2,67.5,4,-8.8,4.4,,
2025-06-25,S,서울반도체,046890,KOSDAQ,7270,7.7,65.5,4,-12.9,38.0,,
2025-06-20,S,일진하이솔루스,271940,KOSPI,16190,9.7,66.9,4,-9.8,3.8,,
2025-06-18,V,NAVER,035420,KOSPI,243500,17.9,76.8,3,0.0,-10.5,,
2025-06-17,S,토니모리,214420,KOSPI,10820,11.6,70.6,4,-20.1,-35.8,,
2025-06-13,S,S-Oil,010950,KOSPI,63700,7.6,68.7,4,25.1,79.9,,
2025-06-12,S,넥슨게임즈,225570,KOSDAQ,15240,11.1,70.9,4,-14.5,-27.6,,
2025-06-12,S,한전KPS,051600,KOSPI,50300,13.9,68.1,4,8.7,10.9,,
2025-06-11,S,삼성제약,001360,KOSPI,1795,8.9,69.1,4,-25.1,-1.9,,
2025-06-09,V,카카오뱅크,323410,KOSPI,29150,20.2,77.8,2,-24.7,-17.5,,
2025-06-04,S,하이트진로홀딩스,000140,KOSPI,10360,13.0,70.3,4,-2.5,-8.1,,
2025-06-04,S,세원정공,021820,KOSPI,10360,11.6,66.8,4,15.5,59.7,,
2025-05-29,S,SK증권,001510,KOSPI,1165,9.4,70.2,4,11.8,210.5,,
2025-05-22,S,사조동아원,008040,KOSPI,1200,14.8,73.8,4,-7.8,-7.2,-14.9,
2025-05-16,S,삼천리,004690,KOSPI,105500,9.0,70.7,4,26.5,36.2,33.8,
2025-05-13,S,선진,136490,KOSPI,6880,14.7,66.7,4,49.6,97.7,60.9,
2025-04-07,S,계룡건설,013580,KOSPI,15800,12.9,67.0,4,23.4,28.5,55.7,
2025-03-28,S,금강공업,014280,KOSPI,4940,10.6,72.4,4,1.4,42.1,1.6,
2025-03-14,V,CJ,001040,KOSPI,127800,16.9,76.1,3,46.6,45.5,42.8,
2025-03-10,S,영풍,000670,KOSPI,47573,8.9,66.7,4,-22.2,38.0,16.7,
2025-02-20,S,와이지엔터테인먼트,122870,KOSDAQ,60200,13.2,71.4,4,62.5,4.2,24.3,
2025-02-19,S,원익머트리얼즈,104830,KOSDAQ,22900,12.8,71.3,4,8.7,42.8,81.0,
2025-02-17,S,현대코퍼레이션,011760,KOSPI,23700,9.2,66.2,4,0.8,-6.8,4.4,
2025-02-13,S,한화3우B,00088K,KOSPI,18590,8.4,65.3,4,102.0,124.9,156.3,
2025-02-12,V,한화,000880,KOSPI,37700,16.0,75.0,3,135.8,130.5,226.0,
2025-01-21,S,오이솔루션,138080,KOSDAQ,12230,10.1,74.1,4,-18.4,10.7,24.3,
2025-01-06,V,씨젠,096530,KOSDAQ,27850,16.0,75.4,3,12.7,-11.1,-12.2,
2024-12-24,S,유티아이,179900,KOSDAQ,27000,12.5,68.2,4,-13.9,-11.3,-29.0,
2024-12-20,V,남선알미늄,008350,KOSPI,1700,19.7,76.0,3,-27.8,-32.2,-39.9,
2024-12-17,S,한국앤컴퍼니,000240,KOSPI,19990,13.8,69.7,4,-5.4,19.3,30.3,
2024-12-13,V,신원,009270,KOSPI,1600,18.2,76.3,3,11.8,2.6,-6.0,
2024-12-11,S,NHN KCP,060250,KOSDAQ,8610,10.4,68.1,4,6.6,49.6,78.9,
2024-11-14,V,한글과컴퓨터,030520,KOSDAQ,23100,18.3,76.1,3,-4.8,9.7,10.0,-17.6
2024-11-06,S,아난티,025980,KOSDAQ,5600,12.6,68.0,4,28.0,82.7,30.4,19.5
2024-09-20,S,트리니티항공,091810,KOSPI,3139,9.7,67.8,4,-31.0,-39.4,-42.3,-65.0
2024-09-06,V,DB증권,016610,KOSPI,5900,21.4,76.4,3,0.2,34.1,44.7,136.8
2024-08-13,S,웹젠,069080,KOSDAQ,19470,13.2,68.8,4,-27.6,-27.9,-25.2,-25.3
2024-08-13,S,크래프톤,259960,KOSPI,331000,13.0,67.6,4,-2.6,15.6,-4.7,-20.8
2024-08-08,V,씨젠,096530,KOSDAQ,27850,19.8,77.5,3,-18.5,5.9,7.7,-0.5
2024-08-08,V,씨에스윈드,112610,KOSPI,62500,18.6,76.4,3,-32.8,-31.3,-24.4,-31.3
2024-08-01,S,삼일제약,000520,KOSPI,10630,11.0,69.0,4,24.5,17.0,-3.2,15.0
2024-07-26,S,우리금융지주,316140,KOSPI,16180,11.4,69.7,4,-2.7,6.9,57.9,88.5
2024-07-26,S,HDC,012630,KOSPI,9650,8.8,68.1,4,30.4,85.1,129.5,100.3
2024-07-17,S,자이에스앤디,317400,KOSPI,5050,10.0,70.0,4,-36.3,-34.5,-27.2,-20.5
2024-07-16,S,HD건설기계,267270,KOSPI,64200,11.1,67.7,4,1.2,-2.2,17.9,90.7
2024-07-05,S,유한양행,000100,KOSPI,89500,12.0,68.3,4,33.2,22.6,19.0,26.6
2024-06-28,S,SOOP,067160,KOSDAQ,131300,8.9,67.6,4,-29.4,-38.1,-30.8,-48.4
2024-06-28,V,헥토파이낸셜,234340,KOSDAQ,15089,17.6,76.1,3,-34.1,-42.6,9.4,2.1
2024-06-18,S,케이카,381970,KOSPI,15000,13.6,66.7,4,-17.1,-13.0,-7.4,11.3
2024-06-18,V,인화정공,101930,KOSDAQ,3488,19.9,75.2,3,70.0,103.6,129.1,165.2
2024-06-17,S,화신,010690,KOSPI,14500,14.3,72.9,4,-52.3,-49.0,-41.0,-41.2
2024-06-14,V,사조동아원,008040,KOSPI,1211,15.8,76.7,3,-21.1,-14.5,-2.2,-6.4
2024-06-11,S,모나용평,070960,KOSPI,3710,13.3,72.7,4,-20.6,6.2,29.6,-10.6
2024-06-04,S,코오롱글로벌,003070,KOSPI,10700,14.8,68.5,4,-7.0,-14.3,-15.2,-10.1
2024-05-24,S,교촌에프앤비,339770,KOSPI,4693,7.8,69.2,4,4.0,18.7,4.3,-7.6
2024-05-23,S,SK오션플랜트,100090,KOSPI,15720,14.1,74.6,4,-24.2,-6.7,27.0,19.0
2024-05-16,S,잇츠한불,226320,KOSPI,15700,11.6,67.1,4,-27.1,-24.8,-20.2,-28.5
2024-05-14,S,동국씨엠,460850,KOSPI,7610,12.2,73.6,4,-14.8,-17.2,-16.2,-29.7
2024-05-13,V,현대리바트,079430,KOSPI,10300,21.0,77.2,3,-18.0,-29.1,-25.1,-35.0
2024-05-13,V,우리기술,032820,KOSDAQ,1795,21.4,76.8,3,29.8,10.6,1.3,134.3
2024-05-10,S,잇츠한불,226320,KOSPI,13950,13.3,73.9,4,-16.1,-13.8,-11.8,-18.0
2024-05-08,S,현대코퍼레이션,011760,KOSPI,21600,10.5,67.9,4,-9.0,-10.9,5.3,-0.5
2024-05-07,S,보성파워텍,006910,KOSDAQ,3710,14.9,69.7,4,-18.1,-20.8,-19.5,37.5
2024-05-02,S,금호타이어,073240,KOSPI,7830,11.2,70.6,4,-43.4,-36.0,-38.5,-39.5
2024-04-04,S,풀무원,017810,KOSPI,12110,8.2,70.0,4,-12.2,-12.5,26.6,17.8
2024-04-04,V,하나마이크론,067310,KOSDAQ,28466,21.1,76.8,3,-60.0,-67.5,-58.1,-14.5
2024-03-29,S,한양디지텍,078350,KOSDAQ,19230,9.8,66.9,4,-26.5,-56.4,-44.4,-12.1
2024-03-26,S,지엔씨에너지,119850,KOSDAQ,5740,13.4,69.0,4,2.8,61.8,164.8,468.8
2024-03-26,S,삼양사,145990,KOSPI,55400,13.3,67.2,4,-9.4,-10.6,-16.6,-8.3
2024-03-19,V,한국철강,104700,KOSPI,8470,22.0,76.1,3,4.0,10.5,-5.1,22.3
2024-03-18,V,아이쓰리시스템,214430,KOSDAQ,37800,16.7,75.9,3,-13.5,2.8,59.3,143.4
2024-03-14,S,삼성중공업,010140,KOSPI,9010,13.2,72.1,4,6.7,10.9,56.3,144.2
2024-03-12,S,유니셈,036200,KOSDAQ,9540,13.2,69.4,4,-28.7,-39.8,-33.0,-8.9
2024-03-11,S,비에이치아이,083650,KOSDAQ,9240,9.5,65.5,4,-13.0,58.9,114.6,481.2
2024-03-07,V,동원시스템즈,014820,KOSPI,41600,17.8,75.0,3,0.7,4.8,-10.9,-29.9
2024-03-06,S,에이비엘바이오,298380,KOSDAQ,27300,14.0,66.0,4,24.4,-0.4,53.8,249.8
2024-03-05,S,프로텍,053610,KOSDAQ,52800,7.5,66.5,4,-45.5,-55.3,-54.2,-49.4
2024-02-29,S,피에스케이,319660,KOSDAQ,25400,10.7,68.4,4,3.3,-29.1,-21.7,-7.3
2024-02-22,S,풍산,103140,KOSPI,42200,8.8,66.0,4,32.2,34.4,43.1,187.9
2024-02-19,S,한국가스공사,036460,KOSPI,30600,12.7,68.5,4,53.6,33.3,8.5,28.4
