pullback_quality,chart_pattern,runup60,s11,Market,s2,days_since_52w_high,s5,vol60,pre_5d_min_low_ratio,pos_252_high,range60_pct,sell_close,past_20,Close,ma5,long_red_count_5d,cup_and_handle_detected,cum_5d_gain,RF손절확률,pos_120_high,consecutive_red_max,upper_wick_ratio,s3,Inst_5d,peak등급,s8,past_5d,외인소진율_num,past_120,ma10,past_240,days_since_52w_low,pre_5d_vol_trend,Code,valid,longterm_ma_breakouts,past_60,s1,For_5d,s10,ret_180d,new_high_252,RF위험,range120_pct,Score,candle_pct,ma3,rs_ratio,slope120,gap_up_count_5d,s6,slope60,Date,vol20,s9,Amount,Inst_20d,s4,PBR_num,pos_60_high,pre_10d_drawdown,drawdown60,peak_180d,pre_20d_vol_ratio,long_red_in_10d,sell_date,s7,vol_ratio,Name,pre_10d_max_high_ratio,PER_num,pos_240_high,pre_5d_max_high_ratio,결과,preset,s12,is_first_pullback,For_20d,gap_support_detected,inverse_hns_detected,데이터소스,Year,is_loser,is_sw,is_100plus,is_50plus,RF확률,bucket,set,year
가짜 눌림,sideways,19.27437641723355,25,KOSDAQ,17.2,97,0.0,3.542297288299427,0.9470588235294117,-19.636963696369637,19.954648526077097,15630.0,-1.2170385395537497,25500.0,25130.0,4,True,-1.35,0.5159208489350395,-19.636963696369637,3,0.17,47.2,-89820.0,일반,0.0,-1.35,16.33,6.5645514223194645,25535.0,14.85849056603774,172,0.02039849330668217,356860,True,MA120,5.411255411255422,0.0,66694.0,19.7,-38.70588235294118,0,0,40.27777777777778,55.28,4.72,24833.33,0.833,-0.2844426328084823,0,100.0,-0.18191727270204783,2023-11-27,3.902426736954587,30,5016028500.0,-170886.0,100,8.65,-7.939508506616255,-4.315196998123827,-16.635160680529303,29.41176470588236,1.0253605682131026,2,2024-08-21,80,1.03,티엘비,1.0450980392156863,43.84,-19.636963696369637,1.0333333333333334,손절,pullback,100,True,103403.0,False,False,원본,2023,1,0,0,0,0.402449165046094,2023-11-27,회피X,2023
보통 조정,new_high_240,18.559556786703602,0,KOSPI,52.9,8,71.1,2.019155616810737,0.9121621621621622,-0.7009345794392496,18.559556786703602,41150.0,6.730286288297349,22200.0,21460.0,3,True,4.23,0.3973017707481137,-0.7009345794392496,2,0.36,25.4,19148.0,100%+,77.8,4.23,14.12,34.92063492063493,21210.0,26.488095238095234,189,-0.18018804127309596,281820,True,,5.459057071960305,68.7,-29875.0,30.7,85.36036036036036,1,0,36.74121405750799,67.54,2.54,21616.67,0.924,1.6105566935149824,0,83.1,0.9709868185838854,2023-07-03,2.62847933851353,0,5082401400.0,49728.0,100,2.52,-0.7009345794392496,1.1389521640091116,-12.378640776699024,143.69369369369372,1.1567700965831866,1,2024-03-27,80,3.29,케이씨텍,0.9887387387387387,18.93,-0.7009345794392496,0.9887387387387387,익절,pullback,100,True,18092.0,False,True,원본,2023,0,0,1,1,0.4141787330541489,2023-07-03,회피X,2023
보통 조정,new_high_240,25.48476454293629,0,KOSPI,30.0,0,71.7,2.272924021192065,0.847457627118644,0.0,25.48476454293629,38100.0,15.267175572519086,23600.0,22060.0,2,True,14.56,0.4264991011949866,0.0,3,0.12,37.4,72763.0,100%+,50.3,14.56,14.12,35.62874251497006,21840.0,26.890756302521,199,0.3498842364403097,281820,True,,14.451743304699338,30.0,20206.0,2.2,61.44067796610169,1,0,36.28158844765343,58.02,3.74,22816.67,1.002,1.5390916399029828,1,41.7,2.948343838416367,2023-07-17,3.3371756105896018,0,5124622000.0,198012.0,100,2.52,0.0,1.7241379310344827,-8.240534521158127,129.23728813559322,1.3714665938715622,2,2024-04-11,80,1.8,케이씨텍,0.9830508474576272,18.93,0.0,0.9830508474576272,익절,pullback,100,True,36644.0,False,False,원본,2023,0,0,1,1,0.4793229538436509,2023-07-17,회피X,2023
보통 조정,mixed,9.693053311793221,0,KOSDAQ,59.5,171,54.7,1.4273926036868894,0.866617538688283,-24.74164133738602,12.697095435684647,11280.0,-2.8257456828885363,13570.0,12476.0,3,True,9.61,0.4697781470434033,-21.496512365250474,4,0.03,67.8,92281.0,일반,38.3,9.61,7.49,-9.50292397660819,12501.0,0.6504065040650486,194,0.06874768299828984,082270,True,MA120,-5.496183206106875,40.0,76076.0,27.4,-16.87546057479735,0,0,30.87136929460581,45.73,8.56,12700.0,0.896,-1.5682059668349115,0,61.6,-0.7550854802214806,2023-10-24,1.23537042178032,30,5140899510.0,245248.0,75,12.5,-8.836524300441829,5.275407292474787,-11.266568483063333,12.82240235814296,0.8919168344857912,0,2024-07-17,0,3.95,젬백스,0.9498894620486367,,-24.74164133738602,0.9373618275607959,중립,box_breakout,70,False,63381.0,False,False,원본,2023,0,0,0,0,0.46115554386993396,2023-10-24,회피X,2023
보통 조정,box_breakout,18.917568692756028,0,KOSDAQ,71.8,243,75.6,1.9204527972249863,0.8870309414088215,-9.28607723577236,18.91756869275604,9200.0,8.016941461201021,7595.0,7125.6,2,True,10.26,0.2691512466449788,-1.039356984478934,2,0.18,54.9,85676.0,50%+,72.8,10.26,32.33,30.429223744292244,6911.0,1.0757254069355904,122,-0.002929239994150092,082920,True,MA480,18.424543946932005,81.8,58136.0,31.7,21.132323897300864,0,0,33.013824884792626,55.99,5.99,7216.67,0.931,0.8515604769207671,0,58.9,1.8561660343020567,2023-01-12,1.6224793440592387,35,5181871030.0,179095.0,100,7.11,0.0,5.986603404967903,-8.607954545454543,64.12113232389731,1.1710016757841926,1,2023-10-10,0,5.18,비츠로셀,0.9435154707044108,37.95,-8.997068943545305,0.9435154707044108,익절,pullback,70,False,113866.0,False,False,원본,2023,0,0,0,1,0.24595989058453974,2023-01-12,회피X,2023
가짜 눌림,persistent_uptrend,70.33067413677607,0,KOSDAQ,13.2,121,19.2,4.479843617109674,0.8956010899953993,-31.459530955893577,70.33067413677608,51900.0,20.953406948559117,28257.0,27544.0,1,False,2.07,0.3664882231626627,-29.40159295745127,2,0.5,52.5,-6877.0,100%+,0.0,2.07,5.88,-27.69474333861057,26647.2,,48,-0.37672760759595314,310210,True,,44.296883367248576,30.0,15380.0,45.3,83.67130268606009,0,0,132.43407831435357,52.98,5.51,27355.67,1.056,-4.254896975525872,0,91.7,8.957272619457257,2023-01-04,5.390716790012704,0,5368067061.0,145047.0,100,49.26,-3.6610654272434706,-3.6287984720848536,-14.310092637737693,191.29773153554873,1.0976493167499382,4,2023-09-25,80,0.79,보로노이,1.0376543865236934,,-31.459530955893577,1.0376543865236934,익절,pullback,70,True,78581.0,False,False,원본,2023,0,0,1,1,0.46528005331597583,2023-01-04,회피X,2023
보통 조정,box_breakout,7.017543859649122,0,KOSPI,86.8,131,72.7,1.0588336436320098,0.9333333333333333,-5.9931506849315035,7.017543859649122,30400.0,3.195488721804507,28500.0,27300.0,3,False,4.97,0.3508771480566738,-2.659574468085102,3,0.14,40.1,9950.0,일반,83.4,4.97,6.93,-1.0810810810810811,27230.0,-3.3450704225352124,187,0.37906475350425656,089860,True,MA240,3.3898305084745672,69.1,93034.0,25.8,6.666666666666665,0,0,9.941520467836257,55.94,4.01,27566.67,0.884,-0.1453602220914016,0,80.1,0.08528772892858909,2023-12-15,0.8994341228781702,35,5412777000.0,5156.0,100,0.74,0.0,2.7027027027027026,-6.386861313868608,13.508771929824558,1.1107068749242872,0,2024-09-10,0,6.68,롯데렌탈,0.9736842105263158,9.08,-5.9931506849315035,0.968421052631579,익절,pullback,65,False,171313.0,False,False,원본,2023,0,0,0,0,0.4019382843099271,2023-12-15,회피X,2023
보통 조정,sideways,14.756258234519116,0,KOSPI,20.7,233,62.3,3.142295400956934,0.9234184239733629,-29.426229508196723,15.2832674571805,35100.0,8.438287153652402,45050.0,43370.0,3,True,4.89,0.5840502582261576,-18.15589353612167,2,0.03,40.4,-13628.0,일반,54.1,4.89,13.58,-7.815845824411138,42270.0,-28.010033444816052,10,-0.07411035724735736,014820,True,MA120,1.0563380281690238,64.9,-30733.0,32.3,-22.086570477247502,0,1,38.6034255599473,61.63,4.04,43883.33,0.936,-1.4508154200233225,1,80.4,0.38319896935370473,2023-03-29,4.528428848480145,30,5531193950.0,-136212.0,100,0.79,-1.6000000000000014,-0.11086474501108648,-13.257142857142856,31.4095449500555,1.3033684609185432,2,2023-12-20,80,1.24,동원시스템즈,1.0011098779134295,11.68,-29.426229508196723,1.0011098779134295,손절,pullback,70,False,-31043.0,False,False,원본,2023,1,0,0,0,0.5868307792449037,2023-03-29,회피X,2023
보통 조정,sideways,21.331521739130444,0,KOSDAQ,58.8,1,0.0,2.0880033097368624,0.9139433551198257,-1.903695408734607,21.331521739130434,7420.0,8.684863523573206,4590.0,4413.0,4,True,6.25,0.39405376921607704,-1.903695408734607,2,0.02,47.9,,50%+,66.8,6.25,6.28,56.14973262032086,4338.5,7.090464547677255,119,-0.32818129492176945,232140,True,MA480,0.22883295194509046,64.0,,29.4,61.6557734204793,0,0,63.25411334552102,52.88,4.79,4478.33,0.913,2.4741596798820633,0,75.0,0.2510657744604004,2023-06-28,2.1035093453769327,35,5586296220.0,,100,4.25,-1.903695408734607,0.0,-15.693012600229094,86.27450980392157,1.1876061316777455,1,2024-03-22,0,3.88,와이씨,1.0,81.23,-1.903695408734607,1.0,익절,pullback,100,False,,False,False,원본,2023,0,0,0,1,0.35262960167817753,2023-06-28,회피X,2023
보통 조정,pullback_recovery,45.882352941176464,0,KOSDAQ,24.4,52,0.0,5.502782935077309,0.8689320388349514,-30.01792114695341,66.07142857142857,9820.0,4.973118279569899,8240.0,7736.0,2,True,6.05,0.35329141375835804,-30.01792114695341,2,0.31,58.7,42032.0,일반,25.7,6.05,16.32,-9.29152148664344,7564.0,12.212643678160928,230,-0.16690625351052957,083650,True,MA120,-1.7610062893081757,0.0,-69664.0,28.2,19.1747572815534,0,0,66.07142857142857,51.3,6.74,7920.0,0.903,-1.249909423033525,0,75.8,-3.18934644943192,2023-09-27,3.099150811297191,30,5594465600.0,233149.0,75,13.3,-30.01792114695341,0.8567931456548347,-39.784946236559136,47.69417475728155,1.04385705767807,1,2024-06-27,80,1.46,비에이치아이,0.991504854368932,39.48,-30.01792114695341,0.9781553398058253,익절,pullback,100,True,-351586.0,False,False,원본,2023,0,0,0,0,0.3957021617314407,2023-09-27,회피X,2023
