Date,Code,Name,Market,Score,Close,preset,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,valid,vol_ratio,candle_pct,cum_5d_gain,upper_wick_ratio,rs_ratio,longterm_ma_breakouts,ma3,ma5,ma10,is_first_pullback,pullback_quality,cup_and_handle_detected,inverse_hns_detected,gap_support_detected,peak_180d,ret_180d,sell_date,sell_close,Amount,past_60,past_120,past_240,slope60,slope120,pos_252_high,drawdown60,new_high_252,vol20,vol60,range60_pct,range120_pct,days_since_52w_low,days_since_52w_high,pos_60_high,pos_120_high,pos_240_high,past_5d,past_20,runup60,For_5d,For_20d,Inst_5d,Inst_20d,PER_num,PBR_num,외인소진율_num,pre_5d_max_high_ratio,pre_5d_min_low_ratio,pre_5d_vol_trend,pre_10d_max_high_ratio,pre_10d_drawdown,pre_20d_vol_ratio,gap_up_count_5d,long_red_count_5d,long_red_in_10d,consecutive_red_max,Year,is_loser,is_sw,is_100,is_50,RF확률,RF위험,bucket,year,필터,모드
2023-07-17,323350,다원넥스뷰,KOSDAQ,48.48,10080.0,pullback,40.0,0.0,0.0,75,0.0,100.0,80,0.0,30,20.2,50,70,True,0.0,0.0,0.0,0.0,0.838,MA120,10080.0,10080.0,9835.2,True,진짜 지지,True,False,True,54.761904761904766,20.535714285714278,2024-04-11,12150.0,0.0,5.000000000000004,-14.28571428571429,-22.22222222222222,0.031067626520503856,0.031067626520503856,-27.586206896551722,-6.666666666666665,0,3.2979151493387335,2.6531664928705827,22.282608695652172,22.282608695652172,12,363,-27.586206896551722,-27.586206896551722,-27.586206896551722,0.416666666666667,1.666666666666668,5.000000000000004,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.47972491477073903,0,2023-07-17,2023,회피X,daily_1
2023-07-28,323350,다원넥스뷰,KOSDAQ,56.75,10080.0,pullback,40.0,0.0,0.0,75,37.4,100.0,80,0.0,30,25.4,100,100,True,0.0,0.0,0.0,0.0,0.881,MA120,10080.0,10080.0,10080.0,True,진짜 지지,True,False,True,63.69047619047619,53.571428571428584,2024-04-24,15480.0,0.0,0.0,-6.666666666666665,-10.63829787234043,0.052663788952430506,0.052663788952430506,-26.956521739130434,-2.3255813953488413,0,3.0558683199511605,2.572590069037445,16.847826086956523,16.847826086956523,23,262,-26.956521739130434,-26.956521739130434,-26.956521739130434,0.0,0.0,0.0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.4395246266250998,0,2023-07-28,2023,회피X,daily_1
2023-10-18,001080,만호제강,KOSPI,44.29,4500.0,pullback,0.0,0.0,0.0,75,0.0,100.0,80,0.0,18,28.0,50,70,True,0.0,0.0,0.0,0.0,0.902,,4500.0,4500.0,4500.0,False,진짜 지지,True,False,True,0.0,0.0,2024-07-11,4500.0,0.0,30.28372900984366,-16.543026706231455,49.25373134328359,0.3670695704374956,0.3670695704374956,-30.651872399445214,-25.974666886000985,0,3.608532664186331,5.87775150166899,85.16600670118794,85.16600670118794,370,140,-30.651872399445214,-30.651872399445214,-30.651872399445214,2.5236440841536383,10.094576336614553,30.28372900984366,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.49258404028971947,0,2023-10-18,2023,회피X,daily_1
2023-10-17,001080,만호제강,KOSPI,44.23,4500.0,pullback,0.0,0.0,0.0,75,0.0,100.0,80,0.0,18,26.6,50,70,True,0.0,0.0,0.0,0.0,0.891,,4500.0,4500.0,4500.0,False,진짜 지지,True,False,True,0.0,0.0,2024-07-10,4500.0,0.0,26.7605633802817,-16.543026706231455,45.114479200257975,0.37704858392074614,0.37704858392074614,-30.651872399445214,-25.974666886000985,0,3.629532317207445,5.89152523261253,85.16600670118794,85.16600670118794,371,139,-30.651872399445214,-30.651872399445214,-30.651872399445214,2.2300469483568084,8.920187793427234,26.7605633802817,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.48556446376866835,0,2023-10-17,2023,회피X,daily_1
2023-10-04,001080,만호제강,KOSPI,44.57,4500.0,pullback,0.0,0.0,0.0,100,0.0,100.0,80,0.0,0,24.9,0,70,True,0.0,0.0,-3.76,0.0,0.876,,4500.0,4481.8,4357.1,False,진짜 지지,False,False,False,0.0,0.0,2024-06-28,4500.0,0.0,30.813953488372103,-7.54057941236902,68.41317365269461,0.4106965452443651,0.4106965452443651,-30.651872399445214,-25.974666886000985,0,4.947415125553226,6.065076772391359,85.16600670118794,85.16600670118794,372,126,-30.651872399445214,-30.651872399445214,-30.651872399445214,2.567829457364342,10.271317829457368,30.813953488372103,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.47813676372071534,0,2023-10-04,2023,회피X,daily_1
2023-10-24,001080,만호제강,KOSPI,44.21,4500.0,pullback,0.0,0.0,0.0,75,0.0,100.0,80,0.0,18,25.9,50,70,True,0.0,0.0,0.0,0.0,0.884,,4500.0,4500.0,4500.0,True,진짜 지지,True,False,True,0.0,0.0,2024-07-17,4500.0,0.0,32.08100968594072,-20.071047957371224,8.643167551907283,0.29748375760927803,0.29748375760927803,-30.651872399445214,-25.974666886000985,0,3.4152453502028326,5.859249344788748,85.16600670118794,85.16600670118794,371,146,-30.651872399445214,-30.651872399445214,-30.651872399445214,2.6734174738283936,10.693669895313574,32.08100968594072,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.4815781499250402,0,2023-10-24,2023,회피X,daily_1
2023-10-20,001080,만호제강,KOSPI,44.21,4500.0,pullback,0.0,0.0,0.0,75,0.0,100.0,80,0.0,18,26.0,50,70,True,0.0,0.0,0.0,0.0,0.886,,4500.0,4500.0,4500.0,False,진짜 지지,False,False,True,0.0,0.0,2024-07-15,4500.0,0.0,30.095403295750224,-17.279411764705888,33.214920071047956,0.3353532115714491,0.3353532115714491,-30.651872399445214,-25.974666886000985,0,3.508946554329737,5.8626974261876965,85.16600670118794,85.16600670118794,371,142,-30.651872399445214,-30.651872399445214,-30.651872399445214,2.507950274645852,10.031801098583408,30.095403295750224,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.4840142765544003,0,2023-10-20,2023,회피X,daily_1
2023-07-10,323350,다원넥스뷰,KOSDAQ,49.76,10080.0,pullback,40.0,0.0,24.4,75,0.0,80.0,80,15.5,30,22.7,50,70,True,0.0,2.44,5.0,0.0,0.859,MA120,9920.0,9590.4,9549.6,True,보통 조정,True,False,True,54.761904761904766,18.551587301587304,2024-04-03,11950.0,0.0,0.0,-14.28571428571429,-27.586206896551722,-0.02030396860727371,-0.02030396860727371,-27.586206896551722,-6.666666666666665,0,3.3382503623009963,2.7851637122579884,22.282608695652172,22.282608695652172,5,364,-27.586206896551722,-27.586206896551722,-27.586206896551722,0.0,0.0,0.0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.4709727588283778,0,2023-07-10,2023,회피X,daily_1
2023-10-13,001080,만호제강,KOSPI,41.59,4500.0,pullback,0.0,0.0,0.0,75,0.0,100.0,80,0.0,0,21.7,25,70,True,0.0,0.0,0.0,0.0,0.85,,4500.0,4500.0,4500.0,False,진짜 지지,False,False,False,0.0,0.0,2024-07-08,4500.0,0.0,31.348511383537648,-12.993039443155451,44.880875724404376,0.39470496159004564,0.39470496159004564,-30.651872399445214,-25.974666886000985,0,3.8289642610149146,5.947301718895007,85.16600670118794,85.16600670118794,367,135,-30.651872399445214,-30.651872399445214,-30.651872399445214,2.6123759486281375,10.44950379451255,31.348511383537648,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.4888317708981718,0,2023-10-13,2023,회피X,daily_1
2023-10-19,001080,만호제강,KOSPI,44.36,4500.0,pullback,0.0,0.0,0.0,75,0.0,100.0,80,0.0,18,29.9,50,70,True,0.0,0.0,0.0,0.0,0.917,,4500.0,4500.0,4500.0,False,진짜 지지,False,False,True,0.0,0.0,2024-07-12,4500.0,0.0,30.28372900984366,-16.09173969793026,45.114479200257975,0.3518441392191482,0.3518441392191482,-30.651872399445214,-25.974666886000985,0,3.574559154983465,5.8626974261876965,85.16600670118794,85.16600670118794,371,141,-30.651872399445214,-30.651872399445214,-30.651872399445214,2.5236440841536383,10.094576336614553,30.28372900984366,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.4871780917414029,0,2023-10-19,2023,회피X,daily_1
