year,필터,모드,매수,익절,손절,SW,100+,50+,SW률%,손절률%,투자만,수익만,수익률%
2023,회피X,daily_1,245,125,23,4,33,59,1.6,9.4,2450.0,173,7.1
2023,회피X,weekly_3,156,86,27,3,24,48,1.9,17.3,1560.0,184,11.8
2023,RF안전,daily_1,245,125,23,4,33,59,1.6,9.4,2450.0,173,7.1
2023,RF안전,weekly_3,156,86,26,3,23,47,1.9,16.7,1560.0,187,12.0
2024,회피X,daily_1,244,118,22,2,12,37,0.8,9.0,2440.0,95,3.9
2024,회피X,weekly_3,159,94,10,13,26,51,8.2,6.3,1590.0,454,28.5
2024,RF안전,daily_1,244,118,22,2,12,37,0.8,9.0,2440.0,95,3.9
2024,RF안전,weekly_3,159,94,10,13,26,51,8.2,6.3,1590.0,454,28.5
2025,회피X,daily_1,242,191,2,57,65,84,23.6,0.8,2420.0,1885,77.9
2025,회피X,weekly_3,159,115,6,29,40,56,18.2,3.8,1590.0,1006,63.3
2025,RF안전,daily_1,242,192,2,57,64,82,23.6,0.8,2420.0,1882,77.7
2025,RF안전,weekly_3,159,116,6,27,38,53,17.0,3.8,1590.0,970,61.0
2026,회피X,daily_1,94,35,1,1,2,3,1.1,1.1,940.0,35,3.7
2026,회피X,weekly_3,63,37,3,1,2,3,1.6,4.8,630.0,104,16.5
2026,RF안전,daily_1,94,35,1,1,2,3,1.1,1.1,940.0,35,3.7
2026,RF안전,weekly_3,63,37,3,1,2,3,1.6,4.8,630.0,104,16.5
