filter,mode,n,skip,SW_n,SW_rate,100+_n,100+_rate,50+_n,50+_rate,avg_peak,avg_ret,winrate,final,return_pct
회피6,weekly_1,204,77,17,8.333333333333332,56,27.450980392156865,90,44.11764705882353,84.0056718435774,42.3764765041948,60.29411764705882,96448012.06855738,864.4801206855739
회피6,daily_1,164,966,22,13.414634146341465,49,29.878048780487802,84,51.21951219512195,94.90886633675848,50.35649948492081,67.07317073170732,92584659.15527013,825.8465915527014
회피6,slots_5,40,4969,3,7.5,15,37.5,21,52.5,87.34825742284372,37.155351001761005,62.5,24862140.400704402,148.62140400704402
회피6,slots_10,80,4929,5,6.25,28,35.0,47,58.75,83.62842794472355,39.09775219563562,66.25,41278201.7565085,312.782017565085
회피6,slots_20,150,4859,12,8.0,51,34.0,80,53.333333333333336,85.1468000697108,37.59014205592051,66.0,66385213.08388077,563.8521308388076
회피6+v2,weekly_1,196,85,17,8.673469387755102,54,27.55102040816326,89,45.40816326530612,85.056282471313,42.205647739311914,59.183673469387756,92723069.56905134,827.2306956905134
회피6+v2,daily_1,152,945,17,11.18421052631579,40,26.31578947368421,77,50.6578947368421,87.3664804964296,45.390855739354265,63.1578947368421,78994100.72381848,689.9410072381847
회피6+v2,slots_5,40,4549,3,7.5,16,40.0,23,57.49999999999999,90.84269412887525,42.10959589651784,62.5,26843838.358607132,168.4383835860713
회피6+v2,slots_10,80,4509,7,8.75,33,41.25,49,61.25000000000001,92.80628446326699,45.63009757370903,67.5,46504078.05896723,365.0407805896723
회피6+v2,slots_20,150,4439,16,10.666666666666668,56,37.333333333333336,81,54.0,94.82163388885861,46.33199680463313,69.33333333333334,79497995.2069497,694.9799520694969
회피6+v3_P9,weekly_1,168,96,11,6.547619047619048,42,25.0,69,41.07142857142857,74.94415151282246,31.461452496320952,57.738095238095234,62855240.19381921,528.552401938192
회피6+v3_P9,daily_1,185,495,17,9.18918918918919,41,22.162162162162165,78,42.16216216216216,80.97759593707764,36.10342741030446,61.08108108108108,76791340.70906326,667.9134070906326
회피6+v3_P9,slots_5,40,1892,3,7.5,11,27.500000000000004,19,47.5,96.86626670748902,44.52449713581065,72.5,27809798.85432426,178.0979885432426
회피6+v3_P9,slots_10,80,1852,6,7.5,20,25.0,35,43.75,83.4265994464168,39.49957029100792,71.25,41599656.23280633,315.9965623280633
회피6+v3_P9,slots_20,141,1791,8,5.673758865248227,34,24.113475177304963,59,41.843971631205676,77.46539588512184,31.618217332066738,65.95744680851064,54581686.43821411,445.8168643821411
회피6+v4_slope,weekly_1,174,100,18,10.344827586206897,50,28.735632183908045,74,42.5287356321839,84.74275398263408,44.54045402621117,52.29885057471264,87500390.00560743,775.0039000560741
회피6+v4_slope,daily_1,191,649,23,12.041884816753926,55,28.79581151832461,99,51.832460732984295,94.0060574679538,46.84005665997714,63.35078534031413,99464508.22055632,894.6450822055631
회피6+v4_slope,slots_5,40,2590,7,17.5,15,37.5,26,65.0,118.0587762476935,63.06773402297797,75.0,35227093.609191194,252.27093609191195
회피6+v4_slope,slots_10,80,2550,10,12.5,28,35.0,43,53.75,122.22696903016599,66.71179318290656,66.25,63369434.546325244,533.6943454632524
회피6+v4_slope,slots_20,142,2488,12,8.450704225352112,36,25.352112676056336,63,44.36619718309859,104.27101374018034,54.45135406306338,59.859154929577464,87320922.76955,773.2092276954999
