n,invest,profit,final,ret_pct,avg_ret,avg_peak,SW_n,w100_n,w50_n,winrate,period,mode,filter,sort,combo
359,35900000,19760969.51730773,55660969.51730773,55.04448333511902,55.04448333511902,96.11579858067626,55,116,182,63.788300835654596,OOS,daily_1,F01_회피6,S01_거래대금낮,F01_회피6__S01_거래대금낮
359,35900000,14447787.14307503,50347787.143075034,40.244532431963876,40.24453243196387,86.12214960025482,36,106,169,59.888579387186624,OOS,daily_1,F01_회피6,S02_거래대금높,F01_회피6__S02_거래대금높
359,35900000,18675949.505646285,54575949.50564629,52.02214346976681,52.02214346976681,96.45436633943766,47,108,179,64.9025069637883,OOS,daily_1,F01_회피6,S03_점수낮,F01_회피6__S03_점수낮
359,35900000,15676513.282680212,51576513.28268021,43.667167918329284,43.66716791832928,88.84391639232153,43,109,170,59.610027855153206,OOS,daily_1,F01_회피6,S04_점수높,F01_회피6__S04_점수높
359,35900000,14097636.83120235,49997636.83120235,39.2691833738227,39.2691833738227,79.42544633050063,33,89,160,60.44568245125348,OOS,daily_1,F01_회피6,S05_변동성낮,F01_회피6__S05_변동성낮
359,35900000,19172504.576269686,55072504.576269686,53.405305226377955,53.40530522637795,102.62022069385334,55,125,188,64.34540389972145,OOS,daily_1,F01_회피6,S06_변동성높,F01_회피6__S06_변동성높
359,35900000,17312279.310123283,53212279.31012328,48.22361924825427,48.223619248254266,94.63000902891727,50,112,176,62.95264623955432,OOS,daily_1,F01_회피6,S07_slope강한,F01_회피6__S07_slope강한
359,35900000,16592076.293516213,52492076.29351621,46.21748271174433,46.217482711744324,88.96962718832567,45,103,171,62.116991643454035,OOS,daily_1,F01_회피6,S08_외인매수강,F01_회피6__S08_외인매수강
359,35900000,17589112.09721243,53489112.097212434,48.99474121786192,48.99474121786192,93.37913087763751,48,101,171,61.83844011142061,OOS,daily_1,F01_회피6,S09_52주고점근접,F01_회피6__S09_52주고점근접
359,35900000,15209520.337049523,51109520.33704952,42.36635191378697,42.36635191378697,90.3599491524032,41,105,175,59.33147632311978,OOS,daily_1,F01_회피6,S10_랜덤,F01_회피6__S10_랜덤
296,29600000,14400023.155968204,44000023.155968204,48.648726878270956,48.648726878270956,92.6867519099916,41,79,134,59.797297297297305,OOS,daily_1,F02_slope05,S01_거래대금낮,F02_slope05__S01_거래대금낮
296,29600000,13205346.830428945,42805346.83042894,44.6126582109086,44.6126582109086,89.4834542356703,38,84,138,59.12162162162162,OOS,daily_1,F02_slope05,S02_거래대금높,F02_slope05__S02_거래대금높
296,29600000,15348760.680077603,44948760.680077605,51.85392121647839,51.85392121647839,99.733535037536,42,88,138,60.810810810810814,OOS,daily_1,F02_slope05,S03_점수낮,F02_slope05__S03_점수낮
296,29600000,13781198.742595559,43381198.74259556,46.558103860120134,46.558103860120134,88.52531760825373,38,81,135,58.445945945945944,OOS,daily_1,F02_slope05,S04_점수높,F02_slope05__S04_점수높
296,29600000,12744315.771249026,42344315.771249026,43.055120848814276,43.05512084881428,85.38995283520968,33,71,129,59.45945945945946,OOS,daily_1,F02_slope05,S05_변동성낮,F02_slope05__S05_변동성낮
296,29600000,14931886.917387603,44531886.917387605,50.44556391009325,50.445563910093256,97.71171144482243,45,92,143,61.48648648648649,OOS,daily_1,F02_slope05,S06_변동성높,F02_slope05__S06_변동성높
296,29600000,14849021.807211233,44449021.807211235,50.16561421355147,50.165614213551464,96.64845592674104,43,91,141,61.48648648648649,OOS,daily_1,F02_slope05,S07_slope강한,F02_slope05__S07_slope강한
296,29600000,13004889.807118269,42604889.80711827,43.935438537561716,43.93543853756172,86.89052152780965,35,79,134,58.78378378378378,OOS,daily_1,F02_slope05,S08_외인매수강,F02_slope05__S08_외인매수강
296,29600000,14018360.353100602,43618360.3531006,47.35932551723176,47.35932551723177,92.01930129615074,41,78,134,60.13513513513513,OOS,daily_1,F02_slope05,S09_52주고점근접,F02_slope05__S09_52주고점근접
296,29600000,13607829.670320276,43207829.67032027,45.9723975348658,45.97239753486579,89.89753793577535,38,78,132,58.78378378378378,OOS,daily_1,F02_slope05,S10_랜덤,F02_slope05__S10_랜덤
255,25500000,14002354.696052618,39502354.69605262,54.91119488648085,54.91119488648086,102.00427036867474,36,75,122,60.78431372549019,OOS,daily_1,F03_slope10,S01_거래대금낮,F03_slope10__S01_거래대금낮
255,25500000,11285789.87597032,36785789.87597032,44.2579995136091,44.2579995136091,88.2296983531694,28,72,119,58.82352941176471,OOS,daily_1,F03_slope10,S02_거래대금높,F03_slope10__S02_거래대금높
255,25500000,13769648.276633602,39269648.276633605,53.99862069268079,53.998620692680795,102.64454889343995,35,78,122,60.0,OOS,daily_1,F03_slope10,S03_점수낮,F03_slope10__S03_점수낮
255,25500000,12756801.504635965,38256801.50463597,50.02667256719986,50.02667256719987,93.96983933498848,31,73,118,58.43137254901961,OOS,daily_1,F03_slope10,S04_점수높,F03_slope10__S04_점수높
255,25500000,12173756.5066902,37673756.506690204,47.74022159486353,47.74022159486353,93.43858363450893,29,64,114,60.3921568627451,OOS,daily_1,F03_slope10,S05_변동성낮,F03_slope10__S05_변동성낮
255,25500000,13392705.601353627,38892705.60135363,52.520414122955394,52.52041412295539,98.52127414055272,35,82,124,60.3921568627451,OOS,daily_1,F03_slope10,S06_변동성높,F03_slope10__S06_변동성높
255,25500000,12946794.041381469,38446794.04138147,50.771741338750864,50.77174133875086,97.82332546209244,36,80,124,60.78431372549019,OOS,daily_1,F03_slope10,S07_slope강한,F03_slope10__S07_slope강한
255,25500000,11700735.42687301,37200735.42687301,45.88523696812945,45.885236968129455,89.17338971748958,28,67,115,57.25490196078431,OOS,daily_1,F03_slope10,S08_외인매수강,F03_slope10__S08_외인매수강
255,25500000,12328292.770702746,37828292.77070275,48.34624615961861,48.34624615961861,93.30042720957027,32,70,117,61.1764705882353,OOS,daily_1,F03_slope10,S09_52주고점근접,F03_slope10__S09_52주고점근접
255,25500000,12675187.519580383,38175187.51958038,49.70661772384464,49.70661772384463,96.28591738567631,32,72,118,59.21568627450981,OOS,daily_1,F03_slope10,S10_랜덤,F03_slope10__S10_랜덤
129,12900000,6016246.540473552,18916246.54047355,46.637570081190326,46.637570081190326,87.36425686617635,14,37,68,67.44186046511628,OOS,daily_1,F04_외인25,S01_거래대금낮,F04_외인25__S01_거래대금낮
