n,skip,SW_n,SW_rate,w100_n,w100_rate,w50_n,w50_rate,avg_peak,avg_ret,winrate,final,ret_pct,profit,filter,sort,mode,combo,set
37,322,8,21.62162162162162,11,29.72972972972973,20,54.054054054054056,123.81245985847542,82.15209326239506,67.56756756756756,40396274.50708617,303.96274507086173,30396274.507086173,F01_회피6_기본,S01_거래대금낮,daily_1,F01_회피6_기본__S01_거래대금낮,OOS_daily_1
29,330,2,6.896551724137931,11,37.93103448275862,16,55.172413793103445,99.07187306905051,31.308131901764064,55.172413793103445,19079358.25151158,90.79358251511582,9079358.251511581,F01_회피6_기본,S02_거래대금높,daily_1,F01_회피6_기본__S02_거래대금높,OOS_daily_1
31,328,4,12.903225806451612,10,32.25806451612903,17,54.83870967741935,136.30154929906274,79.05944634349827,61.29032258064516,34508428.36648446,245.08428366484463,24508428.366484463,F01_회피6_기본,S03_점수낮,daily_1,F01_회피6_기본__S03_점수낮,OOS_daily_1
30,329,4,13.333333333333334,10,33.33333333333333,15,50.0,100.79244987474068,33.438059053296875,56.666666666666664,20031417.71598906,100.31417715989059,10031417.71598906,F01_회피6_기본,S04_점수높,daily_1,F01_회피6_기본__S04_점수높,OOS_daily_1
32,327,1,3.125,5,15.625,14,43.75,61.56018083840778,24.372826214846036,56.25,17799304.388750732,77.99304388750731,7799304.388750732,F01_회피6_기본,S05_변동성낮,daily_1,F01_회피6_기본__S05_변동성낮,OOS_daily_1
34,325,9,26.47058823529412,17,50.0,21,61.76470588235294,170.45286724467428,91.80225716322782,67.64705882352942,41212767.43549746,312.1276743549746,31212767.435497463,F01_회피6_기본,S06_변동성높,daily_1,F01_회피6_기본__S06_변동성높,OOS_daily_1
35,324,8,22.857142857142858,16,45.714285714285715,20,57.14285714285714,135.87066026715704,64.19952175613547,62.857142857142854,32469832.614647407,224.69832614647407,22469832.614647407,F01_회피6_기본,S07_slope강한,daily_1,F01_회피6_기본__S07_slope강한,OOS_daily_1
31,328,4,12.903225806451612,8,25.806451612903224,16,51.61290322580645,84.91327294912749,32.23781032136759,58.06451612903226,19993721.19962395,99.93721199623951,9993721.19962395,F01_회피6_기본,S08_외인매수강,daily_1,F01_회피6_기본__S08_외인매수강,OOS_daily_1
34,325,7,20.588235294117645,14,41.17647058823529,18,52.94117647058824,127.6912348891378,54.40474270919205,61.76470588235294,28497612.521125298,184.976125211253,18497612.521125298,F01_회피6_기본,S09_52주고점근접,daily_1,F01_회피6_기본__S09_52주고점근접,OOS_daily_1
29,330,2,6.896551724137931,6,20.689655172413794,15,51.724137931034484,73.44059627606077,25.260041476533637,51.724137931034484,17325412.02819475,73.25412028194751,7325412.028194752,F01_회피6_기본,S10_랜덤,daily_1,F01_회피6_기본__S10_랜덤,OOS_daily_1
35,261,9,25.71428571428571,12,34.285714285714285,19,54.285714285714285,144.37090486754315,87.33955192714511,62.857142857142854,40568843.17450079,305.68843174500796,30568843.174500793,F02_slope_05,S01_거래대금낮,daily_1,F02_slope_05__S01_거래대금낮,OOS_daily_1
35,261,7,20.0,14,40.0,21,60.0,130.6883673819412,61.545036431019774,62.857142857142854,31540762.750856917,215.4076275085692,21540762.750856917,F02_slope_05,S02_거래대금높,daily_1,F02_slope_05__S02_거래대금높,OOS_daily_1
32,264,8,25.0,13,40.625,18,56.25,168.22998670156102,96.24589600470378,62.5,40798686.72150521,307.98686721505214,30798686.72150521,F02_slope_05,S03_점수낮,daily_1,F02_slope_05__S03_점수낮,OOS_daily_1
38,258,8,21.052631578947366,15,39.473684210526315,24,63.1578947368421,143.50555157288267,88.43116129568818,71.05263157894737,43603841.29236152,336.0384129236152,33603841.29236152,F02_slope_05,S04_점수높,daily_1,F02_slope_05__S04_점수높,OOS_daily_1
35,261,6,17.142857142857142,10,28.57142857142857,17,48.57142857142857,102.6297766183432,48.504492342261095,57.14285714285714,26976572.319791384,169.76572319791384,16976572.319791384,F02_slope_05,S05_변동성낮,daily_1,F02_slope_05__S05_변동성낮,OOS_daily_1
35,261,10,28.57142857142857,16,45.714285714285715,23,65.71428571428571,172.73333614813882,100.81624758390109,71.42857142857143,45285686.65436538,352.8568665436539,35285686.65436538,F02_slope_05,S06_변동성높,daily_1,F02_slope_05__S06_변동성높,OOS_daily_1
34,262,8,23.52941176470588,15,44.11764705882353,19,55.88235294117647,135.7615972724009,63.85527625555484,61.76470588235294,31710793.92688865,217.10793926888647,21710793.92688865,F02_slope_05,S07_slope강한,daily_1,F02_slope_05__S07_slope강한,OOS_daily_1
