n,skip,SW_n,SW_rate,w100_n,w100_rate,w50_n,w50_rate,avg_peak,avg_ret,winrate,filter,sort,mode,combo,set,invest_10m,profit_10m,final_10m,ret_pct_overall
37,322,8,21.62162162162162,11,29.72972972972973,20,54.054054054054056,123.81245985847542,82.15209326239506,67.56756756756756,F01_회피6_기본,S01_거래대금낮,daily_1,F01_회피6_기본__S01_거래대금낮,OOS_daily_1,3700000,3039627.450708617,6739627.4507086165,82.15209326239506
29,330,2,6.896551724137931,11,37.93103448275862,16,55.172413793103445,99.07187306905053,31.308131901764064,55.172413793103445,F01_회피6_기본,S02_거래대금높,daily_1,F01_회피6_기본__S02_거래대금높,OOS_daily_1,2900000,907935.8251511578,3807935.8251511576,31.308131901764064
31,328,4,12.903225806451612,10,32.25806451612903,17,54.83870967741935,136.30154929906274,79.05944634349827,61.29032258064516,F01_회피6_기본,S03_점수낮,daily_1,F01_회피6_기본__S03_점수낮,OOS_daily_1,3100000,2450842.836648446,5550842.836648446,79.05944634349827
30,329,4,13.333333333333334,10,33.33333333333333,15,50.0,100.79244987474068,33.438059053296875,56.666666666666664,F01_회피6_기본,S04_점수높,daily_1,F01_회피6_기본__S04_점수높,OOS_daily_1,3000000,1003141.7715989063,4003141.7715989063,33.438059053296875
32,327,1,3.125,5,15.625,14,43.75,61.56018083840778,24.372826214846036,56.25,F01_회피6_기본,S05_변동성낮,daily_1,F01_회피6_기본__S05_변동성낮,OOS_daily_1,3200000,779930.4388750731,3979930.438875073,24.372826214846036
34,325,9,26.47058823529412,17,50.0,21,61.76470588235294,170.45286724467428,91.80225716322782,67.64705882352942,F01_회피6_기본,S06_변동성높,daily_1,F01_회피6_기본__S06_변동성높,OOS_daily_1,3400000,3121276.743549746,6521276.7435497455,91.80225716322782
35,324,8,22.857142857142858,16,45.714285714285715,20,57.14285714285714,135.87066026715704,64.19952175613547,62.857142857142854,F01_회피6_기본,S07_slope강한,daily_1,F01_회피6_기본__S07_slope강한,OOS_daily_1,3500000,2246983.2614647415,5746983.261464741,64.19952175613547
31,328,4,12.903225806451612,8,25.806451612903224,16,51.61290322580645,84.91327294912749,32.23781032136759,58.06451612903226,F01_회피6_기본,S08_외인매수강,daily_1,F01_회피6_기본__S08_외인매수강,OOS_daily_1,3100000,999372.1199623953,4099372.119962395,32.23781032136759
34,325,7,20.588235294117645,14,41.17647058823529,18,52.94117647058824,127.6912348891378,54.40474270919205,61.76470588235294,F01_회피6_기본,S09_52주고점근접,daily_1,F01_회피6_기본__S09_52주고점근접,OOS_daily_1,3400000,1849761.2521125295,5249761.252112529,54.40474270919204
29,330,2,6.896551724137931,6,20.689655172413794,15,51.72413793103448,73.44059627606077,25.260041476533637,51.72413793103448,F01_회피6_기본,S10_랜덤,daily_1,F01_회피6_기본__S10_랜덤,OOS_daily_1,2900000,732541.2028194754,3632541.2028194754,25.260041476533633
