buy_date,code,name,Market,buy_price,alloc,sell_date,sell_close,ret_180d,peak_180d
2024-01-02,003230,삼양식품,KOSPI,234500.0,1000000.0,2024-09-26,548000.0,133.68869936034113,206.18336886993603
2024-01-03,285130,SK케미칼,KOSPI,71500.0,1000000.0,2024-09-27,51100.0,-28.53146853146853,0.5594405594405494
2024-01-04,078350,한양디지텍,KOSDAQ,16410.0,1000000.0,2024-09-30,13730.0,-16.331505179768435,93.47958561852529
2024-01-05,012510,더존비즈온,KOSPI,30700.0,1000000.0,2024-10-02,53400.0,73.94136807817591,155.0488599348534
2024-01-08,012510,더존비즈온,KOSPI,34150.0,1000000.0,2024-10-04,52900.0,54.90483162518303,129.28257686676426
2024-01-10,010060,OCI홀딩스,KOSPI,113700.0,1000000.0,2024-10-08,68500.0,-39.753737906772216,2.37467018469657
2024-01-11,377300,카카오페이,KOSPI,58000.0,1000000.0,2024-10-10,24650.0,-57.49999999999999,2.4137931034482696
2024-01-15,020560,아시아나항공,KOSPI,12090.0,1000000.0,2024-10-14,9560.0,-20.926385442514473,20.84367245657568
2024-01-18,012510,더존비즈온,KOSPI,40800.0,1000000.0,2024-10-17,47350.0,16.05392156862746,91.91176470588236
2024-01-24,126340,비나텍,KOSDAQ,47305.0,1000000.0,2024-10-23,34690.0,-26.667371313814602,20.982982771377223
2024-09-26,347850,디앤디파마텍,KOSDAQ,10760.0,1000000.0,2025-06-27,30705.0,185.36245353159853,260.0185873605948
2024-10-04,124500,아이티센글로벌,KOSDAQ,7290.0,1000000.0,2025-07-03,24250.0,232.6474622770919,352.6748971193416
2024-10-10,009420,한올바이오파마,KOSPI,42700.0,1000000.0,2025-07-08,25150.0,-41.10070257611241,21.779859484777518
2024-10-14,295310,에이치브이엠,KOSDAQ,17750.0,1000000.0,2025-07-10,28450.0,60.28169014084508,92.95774647887325
2024-10-15,140860,파크시스템스,KOSDAQ,202500.0,1000000.0,2025-07-11,300500.0,48.39506172839507,52.8395061728395
2024-10-18,008930,한미사이언스,KOSPI,36350.0,1000000.0,2025-07-16,48500.0,33.42503438789546,44.429160935350765
2024-10-21,009420,한올바이오파마,KOSPI,49500.0,1000000.0,2025-07-17,29900.0,-39.5959595959596,5.050505050505061
2024-10-24,034020,두산에너빌리티,KOSPI,20850.0,1000000.0,2025-07-22,62600.0,200.2398081534772,246.2829736211031
2024-10-28,214430,아이쓰리시스템,KOSDAQ,37300.0,1000000.0,2025-07-24,115200.0,208.84718498659515,234.04825737265415
2024-10-30,122640,예스티,KOSDAQ,22000.0,1000000.0,2025-07-28,17600.0,-19.999999999999996,2.0454545454545503
2025-06-27,103590,일진전기,KOSPI,37600.0,1000000.0,2026-03-25,79500.0,111.43617021276597,160.63829787234042
2025-07-01,032190,다우데이타,KOSDAQ,19810.0,1000000.0,2026-03-27,24150.0,21.908127208480565,58.75820292781424
2025-07-07,000080,하이트진로,KOSPI,21750.0,1000000.0,2026-04-02,16600.0,-23.678160919540225,1.6091954022988464
2025-07-08,071320,지역난방공사,KOSPI,88000.0,1000000.0,2026-04-03,71900.0,-18.295454545454547,32.61363636363637
2025-07-11,089890,코세스,KOSDAQ,8160.0,1000000.0,2026-04-08,22400.0,174.50980392156862,299.5098039215686
2025-07-17,006280,녹십자,KOSPI,142800.0,1000000.0,2026-04-14,144000.0,0.8403361344537785,28.711484593837543
2025-07-18,178920,PI첨단소재,KOSPI,21400.0,1000000.0,2026-04-15,23900.0,11.682242990654213,30.373831775700943
2025-07-21,020150,롯데에너지머티리얼즈,KOSPI,26450.0,1000000.0,2026-04-16,48850.0,84.68809073724009,93.95085066162572
2025-07-23,089890,코세스,KOSDAQ,9500.0,1000000.0,2026-04-20,34900.0,267.36842105263156,284.2105263157895
2025-07-24,267270,HD건설기계,KOSPI,94600.0,1000000.0,2026-04-21,176200.0,86.25792811839324,88.16067653276956
2025-07-28,074600,원익QnC,KOSDAQ,19500.0,1000000.0,2026-04-23,36650.0,87.94871794871794,94.61538461538461
2025-08-04,009150,삼성전기,KOSPI,150300.0,1000000.0,2026-04-30,832000.0,453.5595475715236,483.4996673320027
2025-08-05,009150,삼성전기,KOSPI,155700.0,1000000.0,2026-05-04,918000.0,489.5953757225434,494.0912010276172
2025-08-06,457190,이수스페셜티케미컬,KOSPI,51100.0,1000000.0,2026-05-06,121800.0,138.35616438356166,157.9256360078278
2025-08-08,009150,삼성전기,KOSPI,160100.0,1000000.0,2026-05-08,914000.0,470.89319175515305,506.49594003747654
2025-08-11,003670,포스코퓨처엠,KOSPI,162900.0,1000000.0,2026-05-11,280000.0,71.88459177409455,83.85512584407613
2025-08-12,023160,태광,KOSDAQ,25000.0,1000000.0,2026-05-12,37350.0,49.4,105.2
2025-08-13,009150,삼성전기,KOSPI,162900.0,1000000.0,2026-05-13,1029000.0,531.6758747697974,550.7059545733579
2025-08-18,077970,STX엔진,KOSPI,38600.0,1000000.0,2026-05-15,45850.0,18.78238341968912,75.38860103626943
