Date,등급,가능성태그,예상수익률,Code,Name,Market,Close,Amount,SuperScore,StrongScore,예상peak%,슈퍼위너확률%,100%+확률,50%+확률,손절확률%,Score,past_60,past_120,pos_252_high,slope60,기준일
2026-05-11,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+73% (대상승),023530,롯데쇼핑,KOSPI,145000.0,37475395000.0,3.86,2.68,72.7,64.2,66.4,64.4,44.0,43.89,46.76113360323886,101.949860724234,-4.416611733684905,0.4406710152852973,2026-05-11
2026-05-11,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+69% (대상승),161890,한국콜마,KOSPI,99900.0,69751578600.0,3.37,2.34,69.0,61.4,61.5,60.0,50.9,42.44,37.414030261347996,54.16666666666667,-9.756097560975608,0.4920600118353286,2026-05-11
2026-05-14,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+56% (대상승),069960,현대백화점,KOSPI,125000.0,26686125000.0,3.28,2.29,56.3,58.1,60.6,58.0,47.1,47.77,12.714156898106399,33.832976445396135,0.0,0.12802761373695198,2026-05-14
2026-05-14,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+58% (대상승),003550,LG,KOSPI,117000.0,63302382000.0,3.23,2.26,58.0,56.1,58.2,57.3,43.6,44.35,21.62162162162162,39.95215311004785,-1.1824324324324342,0.12744723333723607,2026-05-14
2026-05-12,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+54% (대상승),140860,파크시스템스,KOSDAQ,298500.0,50912757000.0,3.12,2.16,54.2,57.4,55.8,53.8,47.0,40.36,15.02890173410405,28.663793103448263,-14.83594864479315,0.150308369388324,2026-05-12
2026-05-14,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+67% (대상승),139480,이마트,KOSPI,118700.0,70721460000.0,3.06,2.14,66.8,57.0,59.2,57.4,51.6,41.14,0.9353741496598733,49.30817610062892,-12.976539589442815,0.07595804831148126,2026-05-14
2026-05-13,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+60% (대상승),028670,팬오션,KOSPI,6120.0,42393552120.0,2.97,2.09,59.7,55.4,58.8,57.8,51.7,40.29,24.64358452138493,64.29530201342281,-7.272727272727275,0.18946014024136895,2026-05-13
2026-05-13,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+67% (대상승),204320,HL만도,KOSPI,63300.0,93341990100.0,2.97,2.08,66.7,56.3,59.8,57.5,53.8,50.1,5.6761268781302165,71.54471544715446,-16.490765171503963,-0.037302006081603015,2026-05-13
2026-05-14,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+56% (대상승),011780,금호석유화학,KOSPI,149200.0,24824492800.0,2.94,2.05,55.8,54.9,54.4,54.5,48.0,53.12,1.4965986394557929,24.229808492922555,-8.07147258163894,0.06252801337720557,2026-05-14
2026-05-12,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+54% (대상승),003550,LG,KOSPI,110400.0,97393224000.0,2.92,2.04,54.0,53.5,54.2,54.2,46.2,44.55,18.83745963401506,30.342384887839422,-6.756756756756754,0.06221185864914393,2026-05-12
