Date,등급,가능성태그,예상수익률,Code,Name,Market,Close,Amount,SuperScore,StrongScore,예상peak%,슈퍼위너확률%,100%+확률,50%+확률,손절확률%,Score,past_60,past_120,pos_252_high,slope60,기준일
2026-05-06,🔥 슈퍼 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+108% (대박),001740,SK네트웍스,KOSPI,6680.0,92250579560.0,2.82,2.08,107.8,31.7,49.0,65.3,13.2,48.63,24.1635687732342,42.73504273504274,-11.170212765957444,0.12719378313764018,2026-05-06
2026-05-07,🔥 슈퍼 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+107% (대박),001740,SK네트웍스,KOSPI,6760.0,22122904440.0,2.44,1.8,106.8,26.6,41.0,58.4,9.8,42.85,28.517110266159705,42.46575342465753,-10.106382978723405,0.1643735728529382,2026-05-07
2026-05-21,🔥 슈퍼 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능,+109% (대박),018880,한온시스템,KOSPI,4835.0,100922042875.0,2.4,1.73,109.1,28.3,39.9,48.4,9.9,41.82,5.798687089715537,35.05586592178771,-17.49146757679181,0.31522803085209045,2026-05-21
2026-05-07,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+99% (대상승),018880,한온시스템,KOSPI,4900.0,208172183100.0,2.28,1.66,99.0,26.6,39.0,50.2,11.2,40.81,21.588089330024808,19.68734733756716,-14.035087719298245,-0.027913560081585694,2026-05-07
2026-05-04,🔥 슈퍼 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+118% (대박),001740,SK네트웍스,KOSPI,6590.0,77115883450.0,2.25,1.69,117.9,25.5,43.8,59.5,16.3,76.73,26.245210727969347,38.4453781512605,-3.088235294117647,0.09565078112709836,2026-05-04
2026-05-12,🔥 슈퍼 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능,+88% (대상승),003530,한화투자증권,KOSPI,7610.0,55011799630.0,2.19,1.58,88.2,26.6,39.9,42.7,12.2,40.51,19.466248037676603,40.66543438077635,-26.116504854368927,0.07295331750418886,2026-05-12
2026-05-06,★ 강력매수,⭐ 슈퍼위너후보 / 💯 100%+ 가능,+75% (대상승),028670,팬오션,KOSPI,5620.0,23988211300.0,1.94,1.45,74.7,19.7,36.9,47.6,8.6,41.5,11.729622266401595,47.89473684210526,-14.848484848484844,0.14023653700308603,2026-05-06
2026-05-04,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능,+75% (대상승),028670,팬오션,KOSPI,5640.0,26313865560.0,1.92,1.43,74.9,20.1,36.0,45.3,8.6,41.83,14.28571428571428,49.40397350993378,-14.54545454545455,0.1396558725764763,2026-05-04
2026-05-07,★ 강력매수,⭐ 슈퍼위너후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+76% (대상승),028670,팬오션,KOSPI,6030.0,76408704810.0,1.89,1.43,76.0,20.0,36.0,51.7,11.4,42.87,20.72072072072073,57.44125326370757,-8.636363636363631,0.15571634813891944,2026-05-07
2026-05-13,🔥 슈퍼 강력매수,⭐ 슈퍼위너후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+79% (대상승),028670,팬오션,KOSPI,6120.0,42393552120.0,1.85,1.4,79.2,19.0,34.2,50.6,9.7,40.29,24.64358452138493,64.29530201342281,-7.272727272727275,0.18946014024136895,2026-05-13
