rule,type,train_n,train_hit,train_lift,test_n,test_hit,test_lift,test_mean_peak,passes_oos,target,feat,direction,cut
cup_and_handle_detected AND past_60>=30 AND rs<=0.95,combo3,89,0.8651685393258427,1.2217420251021265,51,0.9803921568627451,1.3580338032327108,63.50478986671258,True,hit_10,,,
cup_and_handle_detected AND chart=persistent_uptrend AND rs<=0.95,combo3,82,0.8658536585365854,1.222709511659857,43,0.9767441860465116,1.3529806541974263,68.33800865726485,True,hit_10,,,
new_high_240 AND KOSDAQ AND marcap200~500bn,combo3,179,0.8547486033519553,1.207027581500084,35,0.9428571428571428,1.3060405090518012,82.55420645677819,True,hit_10,,,
KOSDAQ AND chart=new_high_240 AND marcap200~500bn,combo3,179,0.8547486033519553,1.207027581500084,35,0.9428571428571428,1.3060405090518012,82.55420645677819,True,hit_10,,,
new_high_252 AND KOSDAQ AND marcap200~500bn,combo3,177,0.8531073446327684,1.204709888865469,34,0.9411764705882353,1.3037124511034024,84.12625730515579,True,hit_10,,,
past_60>=30 AND pos252_top10 AND rs<=0.95,combo3,80,0.8625,1.217973664959766,41,0.926829268292683,1.283838785690241,62.563343698585946,True,hit_10,,,
past_120>=50 AND slope60>=1 AND marcap<=200bn,combo3,169,0.8520710059171598,1.2032464300091332,39,0.9230769230769231,1.2786410578129523,80.80006857112816,True,hit_10,,,
s10>=70 AND KOSDAQ AND marcap<=200bn,combo3,107,0.8598130841121495,1.2141793544770252,56,0.9107142857142857,1.2615164007886717,183.2789133045032,True,hit_10,,,
s8>=90 AND new_high_240 AND KOSDAQ,combo3,254,0.8700787401574803,1.2286759326993417,93,0.8709677419354839,1.2064597077751245,87.25751460009764,True,hit_10,,,
s8>=90 AND KOSDAQ AND chart=new_high_240,combo3,254,0.8700787401574803,1.2286759326993417,93,0.8709677419354839,1.2064597077751245,87.25751460009764,True,hit_10,,,
s8>=90 AND new_high_252 AND KOSDAQ,combo3,252,0.8690476190476191,1.2272198418504199,92,0.8695652173913043,1.2045169385194479,87.88961282822979,True,hit_10,,,
KOSDAQ AND chart=pullback_recovery AND marcap200~500bn,combo3,90,0.9,1.270929041697147,38,0.868421052631579,1.2029320478108696,62.466871907650535,True,hit_10,,,
