rule,type,feat,direction,cut,train_n,train_winner_rate,train_loser_rate,train_winner_lift,train_loser_lift,train_mean_ret,train_median_ret,test_n,test_winner_rate,test_loser_rate,test_winner_lift,test_loser_lift,test_mean_ret,test_median_ret
s3 <= 18.6,uni,s3,le,18.6,489,0.2331288343558282,0.130879345603272,1.5101741672499691,0.7505926582072379,18.56049581033483,0.30120481927710846,248,0.1532258064516129,0.23790322580645162,0.7443841158309379,1.2859004224740396,10.588207548059936,-7.706093189964158
s5 >= 90,uni,s5,ge,90.0,91,0.15384615384615385,0.2857142857142857,0.9965926690758906,1.6385705797470502,5.487546001145424,-1.0889292196007259,50,0.18,0.26,0.8744554455445543,1.4053365973072216,20.092625578746205,7.928800048838771
s10 >= 69.2,uni,s10,ge,69.2,1936,0.1709710743801653,0.2649793388429752,1.10752537578346,1.5196557210412338,11.406419651768223,-8.283336509418621,971,0.25952626158599384,0.2399588053553038,1.2608008483649602,1.2970111192766482,34.68363009207416,-1.3784461152882206
s10 >= 70,uni,s10,ge,70.0,1909,0.17077003666841278,0.26558407543216345,1.1062230831701478,1.5231238835836254,11.279443695027103,-8.695652173913043,959,0.2575599582898853,0.24191866527632952,1.2512483782267696,1.3076044380174678,34.52368083914341,-1.21580547112462
s10 >= 80,uni,s10,ge,80.0,1525,0.17836065573770493,0.26754098360655737,1.1553939927384753,1.5343467461500246,13.032327319864025,-7.694558221181978,770,0.2766233766233766,0.23246753246753246,1.3438601002957438,1.256519734855108,37.92087078752124,0.13063357282821686
s10 >= 82,uni,s10,ge,82.0,1450,0.17379310344827587,0.2731034482758621,1.1258060634112474,1.5662474645030426,12.408712212676242,-7.8866300010784,727,0.2833562585969739,0.23658872077028886,1.3765690186625266,1.2787953377253312,39.572052816760035,0.7987220447284344
s10 >= 90,uni,s10,ge,90.0,1209,0.17783291976840365,0.272125723738627,1.1519753970500888,1.5606402171867069,13.442646058778678,-6.989247311827956,574,0.2857142857142857,0.25435540069686413,1.388024516737388,1.3748267435463304,37.01455407172609,0.8411788553796257
s10 >= 95,uni,s10,ge,95.0,1069,0.16931711880261927,0.27408793264733394,1.0968112957603229,1.5718934794486437,12.467329994961128,-7.123655913978495,507,0.28402366863905326,0.25443786982248523,1.3798113539164567,1.3752725007785738,36.89715402250373,2.4096385542168677
s10 >= 99.1,uni,s10,ge,99.1,970,0.17010309278350516,0.27010309278350514,1.1019027191586523,1.5490404346680877,13.918611098095132,-7.003891050583658,461,0.28633405639913234,0.24511930585683298,1.3910354159060159,1.3249043508736529,38.86544447632353,3.039832285115304
s10 >= 100,uni,s10,ge,100.0,951,0.17034700315457413,0.26919032597266035,1.1034827345288252,1.5438057197196182,13.733965754664181,-7.003891050583658,455,0.2857142857142857,0.24175824175824176,1.388024516737388,1.3067373263211697,39.33191310335566,4.366812227074235
