filter,mode,n,skip,SW_n,SW_rate,100+_n,100+_rate,50+_n,50+_rate,avg_peak,avg_ret,winrate,final,return_pct
회피6,weekly_1,25,62,4,16.0,6,24.0,11,44.0,91.23395583858579,55.30934399903613,64.0,23827335.999759033,138.27335999759032
회피6,daily_1,37,322,8,21.62162162162162,11,29.72972972972973,20,54.054054054054056,123.81245985847542,82.15209326239506,67.56756756756756,40396274.50708617,303.96274507086173
회피6,slots_5,15,1671,3,20.0,6,40.0,9,60.0,130.2858996553268,68.3017565350154,60.0,20245263.48025231,102.45263480252311
회피6,slots_10,30,1656,4,13.333333333333334,8,26.666666666666668,17,56.666666666666664,98.43444180997388,43.66054979707087,56.666666666666664,23098164.939121258,130.98164939121258
회피6+v2,weekly_1,25,62,5,20.0,7,28.000000000000004,12,48.0,108.4612035995984,68.27893401388252,64.0,27069733.503470633,170.69733503470636
회피6+v2,daily_1,37,313,8,21.62162162162162,11,29.72972972972973,21,56.75675675675676,124.11368181097482,83.25930740160887,67.56756756756756,40805943.73859528,308.0594373859528
회피6+v2,slots_5,15,1531,3,20.0,6,40.0,9,60.0,130.2858996553268,68.3017565350154,60.0,20245263.48025231,102.45263480252311
회피6+v2,slots_10,30,1516,4,13.333333333333334,8,26.666666666666668,17,56.666666666666664,98.48496731200778,42.8046839918226,56.666666666666664,22841405.19754678,128.41405197546777
회피6+v3_P9,weekly_1,24,57,1,4.166666666666666,4,16.666666666666664,15,62.5,77.65207806476818,33.845836339940284,58.333333333333336,18123000.72158567,81.23000721585669
회피6+v3_P9,daily_1,29,214,1,3.4482758620689653,7,24.137931034482758,15,51.724137931034484,73.36513115209907,34.331835657691,58.620689655172406,19956232.34073039,99.56232340730391
회피6+v3_P9,slots_5,15,731,1,6.666666666666667,2,13.333333333333334,8,53.333333333333336,68.22399294902799,28.01632141377404,53.333333333333336,14202448.212066106,42.024482120661055
회피6+v3_P9,slots_10,28,718,1,3.571428571428571,4,14.285714285714285,17,60.71428571428571,71.4894812983022,19.969027219345662,53.57142857142857,15591327.621416785,55.91327621416784
회피6+v4_slope,weekly_1,25,61,5,20.0,11,44.0,16,64.0,120.73554048270803,74.06173786453422,64.0,28515434.466133557,185.15434466133556
회피6+v4_slope,daily_1,36,249,9,25.0,13,36.11111111111111,21,58.333333333333336,148.0672230361268,90.39629583732732,66.66666666666666,42542666.50143784,325.42666501437844
회피6+v4_slope,slots_5,15,914,3,20.0,6,40.0,9,60.0,105.07675328886688,44.706661339607486,66.66666666666666,16705999.200941123,67.05999200941125
회피6+v4_slope,slots_10,30,899,6,20.0,14,46.666666666666664,21,70.0,211.76284114717095,148.19977383698233,60.0,54459932.151094705,444.59932151094705
