label,tp,sl,profit_mm,n_tp,n_sl,n_time,winrate,avg_ret,avg_days
기본 (180일 청산),,,3543.5067613487954,0,0,1130,56.81415929203539,31.358466914591105,180.0
+50% 익절만 (손절X),50.0,,1691.886891735105,491,0,639,59.38053097345133,14.972450369337215,135.55309734513276
+100% 익절만,100.0,,2768.4712110947876,282,0,848,57.52212389380531,24.499745230927324,160.06017699115046
+200% 익절만,200.0,,3360.384050483013,101,0,1029,56.90265486725664,29.73791195117711,174.90176991150443
+50% / -10%,50.0,-10.0,490.78480138076367,252,826,52,26.017699115044245,4.343228330803218,40.87699115044248
+50% / -20%,50.0,-20.0,1005.2170553314047,396,543,191,45.13274336283185,8.895726153375263,83.40176991150443
+100% / -10%,100.0,-10.0,955.2223033256624,142,852,136,23.53982300884956,8.453294719696126,53.836283185840706
+100% / -20%,100.0,-20.0,1786.3843321640522,223,563,344,42.56637168141593,15.80871090410666,103.7778761061947
+200% / -10%,200.0,-10.0,1124.9382822597686,48,863,219,22.566371681415927,9.955206037697067,62.216814159292035
+200% / -20%,200.0,-20.0,2138.196154402289,76,572,482,41.50442477876106,18.92208986196716,116.03982300884955
"손절 -10%만 (익절X, 180일 청산)",,-10.0,1180.3622549035276,0,864,266,22.477876106194692,10.445683671712631,65.49026548672566
손절 -20%만,,-20.0,2347.9547942421113,0,573,557,41.415929203539825,20.77836101099214,120.05486725663717
