rule,n,winner_rate,loser_rate,winner_lift,loser_lift,mean_ret,median_ret
s3>=90 AND s12>=80 AND pos252_far,143,0.16083916083916083,0.46853146853146854,0.9431785388433992,2.63652027972028,4.648237496295122,-28.712328767123285
s10>=70 AND KOSPI AND pos252_far,131,0.061068702290076333,0.4580152671755725,0.35811359058640846,2.5773435114503815,-15.06692890032148,-26.220204313280366
s2>=70 AND chart=box_breakout AND past_120<=-20,82,0.14634146341463414,0.45121951219512196,0.8581624457345032,2.5391024390243904,19.677352691533176,-19.941368230962265
KOSPI AND pos252_far AND rs>=1.1,145,0.0896551724137931,0.43448275862068964,0.5257477972143566,2.444921379310345,-12.56246027686371,-26.220204313280366
s8>=70 AND chart=box_breakout AND past_120<=-20,88,0.14772727272727273,0.4318181818181818,0.8662889840463831,2.429927272727273,18.866083753391724,-19.941368230962265
s3>=90 AND chart=pullback_recovery AND pos252_far,84,0.047619047619047616,0.42857142857142855,0.27924333551678276,2.411657142857143,-18.384685020738612,-26.762284605040833
s10>=70 AND is_first_pullback AND pos252_far,84,0.16666666666666666,0.42857142857142855,0.9773516743087398,2.411657142857143,10.061870874927044,-20.263157894736842
s2>=90 AND s10>=90 AND chart=new_high_120,105,0.1523809523809524,0.42857142857142855,0.893578673653705,2.411657142857143,3.0696538546374406,-14.49814126394052
cup_and_handle_detected AND chart=box_breakout AND past_120<=-20,85,0.10588235294117647,0.4235294117647059,0.6209057695608464,2.3832847058823527,10.943935054460743,-19.453551912568308
s3>=70 AND s10>=90 AND pos252_far,105,0.14285714285714285,0.41904761904761906,0.8377300065503483,2.358064761904762,9.024883874711673,-23.82608695652174
s10>=70 AND s12>=80 AND pos252_far,105,0.10476190476190476,0.41904761904761906,0.6143353381369222,2.358064761904762,1.2823260261602971,-20.58516196447231
s3>=70 AND past_120<=-20 AND rs>=1.1,86,0.10465116279069768,0.4186046511627907,0.6136859350310693,2.355572093023256,-7.818765781721985,-20.263157894736842
new_high_60 AND chart=box_breakout AND past_120<=-20,94,0.13829787234042554,0.4148936170212766,0.8109939425115076,2.334689361702128,16.727472889645625,-19.465731779577325
chart=box_breakout AND past_120<=-20,94,0.13829787234042554,0.4148936170212766,0.8109939425115076,2.334689361702128,16.727472889645625,-19.465731779577325
s4>=75 AND chart=box_breakout AND past_120<=-20,94,0.13829787234042554,0.4148936170212766,0.8109939425115076,2.334689361702128,16.727472889645625,-19.465731779577325
s5>=70 AND chart=box_breakout AND past_120<=-20,92,0.13043478260869565,0.41304347826086957,0.7648839190242311,2.324278260869565,16.470288317266235,-19.465731779577325
s10>=90 AND chart=new_high_120 AND past_60>=30,124,0.25806451612903225,0.4112903225806452,1.5133187215103068,2.3144129032258065,22.49753333029165,-17.525877669200142
s2>=70 AND new_high_60 AND past_120<=-20,95,0.12631578947368421,0.4105263157894737,0.7407296900024134,2.3101136842105263,16.10830230934919,-19.453551912568308
s10>=90 AND cup_and_handle_detected AND pos252_far,100,0.12,0.41,0.7036932055022926,2.307152,2.3832801819609823,-21.269296740994854
s5>=70 AND past_120<=-20 AND rs>=1.1,83,0.13253012048192772,0.40963855421686746,0.7771712108961064,2.3051180722891567,4.338430258192088,-20.263157894736842
KOSPI AND chart=box_breakout AND pos252_far,94,0.19148936170212766,0.40425531914893614,1.122914689631318,2.2748255319148933,-0.46682395403111676,-17.797069994574063
cup_and_handle_detected AND new_high_60 AND past_120<=-20,99,0.09090909090909091,0.40404040404040403,0.5331009132593126,2.2736161616161614,7.7716085608261665,-19.477911646586346
s5>=70 AND s10>=90 AND pos252_far,109,0.14678899082568808,0.4036697247706422,0.860786795721459,2.271530275229358,9.424468472443609,-18.80920162381597
s10>=90 AND s12>=80 AND past_120>=50,196,0.23469387755102042,0.4030612244897959,1.376270725047001,2.26810612244898,20.47056812498236,-16.051130194452668
s10>=90 AND s4>=75 AND pos252_far,135,0.14814814814814814,0.4,0.8687570438299909,2.25088,9.886286535508734,-18.80920162381597
s10>=90 AND pos252_far AND rs>=1.1,135,0.14814814814814814,0.4,0.8687570438299909,2.25088,9.886286535508734,-18.80920162381597
s10>=70 AND s10>=90 AND pos252_far,135,0.14814814814814814,0.4,0.8687570438299909,2.25088,9.886286535508734,-18.80920162381597
s3>=90 AND s10>=70 AND pos252_far,135,0.16296296296296298,0.4,0.9556327482129902,2.25088,5.235737042171751,-20.263157894736842
s10>=90 AND pos252_far,135,0.14814814814814814,0.4,0.8687570438299909,2.25088,9.886286535508734,-18.80920162381597
s12>=80 AND pos252_far AND rs>=1.1,123,0.11382113821138211,0.3983739837398374,0.6674596800157248,2.241730081300813,0.8144362531734005,-20.58516196447231
